budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.7466666666666667, 0.20998866182543785)","(0.04666666666666667, 0.07432233529572066)","(0.006666666666666667, 0.025819888974716113)","(0.16, 0.12421180068162375)","(0.192, 0.05226307081896902)","(21.982687782651436, 1.7079550809486672)","(115.92481436766684, 1.5531804506030613)"
2,"(0.02, 0.041403933560541256)","(0.8666666666666667, 0.09759000729485331)","(0.1, 0.1)","(0.12000000000000001, 0.09411239481143202)","(0.31333333333333335, 0.14573295865416044)","(0.28400000000000003, 0.05138093031466052)","(30.81623964278648, 1.236904103271905)","(115.71732737834876, 1.026251660697532)"
3,"(0.04, 0.06324555320336758)","(0.8333333333333334, 0.14960264830861913)","(0.15333333333333335, 0.13557637102737477)","(0.2866666666666667, 0.2325838302531758)","(0.3933333333333333, 0.1486446705914413)","(0.3413333333333333, 0.08052210580834013)","(40.75205349447206, 2.0515762727674236)","(115.65452241944149, 0.7131699379227232)"
4,"(0.08, 0.08618916073713347)","(0.88, 0.1082325538564332)","(0.22666666666666668, 0.12227992865708155)","(0.26, 0.19198214202665534)","(0.5599999999999999, 0.14040757000349272)","(0.4013333333333333, 0.060694394500724065)","(51.083326585065514, 3.867784931679404)","(125.07810477606496, 2.0276202263830365)"
5,"(0.15333333333333335, 0.1505545305418162)","(0.88, 0.152127765851133)","(0.22666666666666668, 0.13870146083619753)","(0.32666666666666666, 0.2433887738538802)","(0.5466666666666666, 0.1846489590960049)","(0.4266666666666667, 0.0890157824422699)","(99.5734625681284, 60.24270681771395)","(124.88928899193027, 1.3357215598016756)"
