,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.3333333333333333, 0.4879500364742666)","(0.54, 0.14540583599999396)","(0.0, 0.0)","(0.3333333333333333, 0.4879500364742666)","(0.24, 0.17237832147426693)","(0.28933333333333333, 0.21841855843006258)","(0.054866490156079334, 0.022835523058102252)","(8.6460321441448, 0.5543865650211603)"
1,2,"(0.013333333333333334, 0.035186577527449844)","(0.58, 0.19712215212183246)","(0.013333333333333334, 0.051639777949432225)","(0.013333333333333334, 0.035186577527449844)","(0.2733333333333333, 0.1486446705914413)","(0.17866666666666667, 0.053701112873100906)","(0.09223631320831677, 0.010381805924326021)","(8.746093644077579, 1.0694002943145273)"
2,3,"(0.006666666666666667, 0.025819888974716113)","(0.5466666666666666, 0.17674302033770736)","(0.03333333333333333, 0.048795003647426664)","(0.0, 0.0)","(0.24000000000000002, 0.19566735620873066)","(0.16533333333333333, 0.0542305484109499)","(0.13865036852657794, 0.011769876800970046)","(8.565953093611945, 0.6012725593849807)"
3,4,"(0.006666666666666667, 0.025819888974716113)","(0.5666666666666667, 0.19518001458970663)","(0.02666666666666667, 0.04577377082170635)","(0.0, 0.0)","(0.21333333333333332, 0.20998866182543782)","(0.16266666666666665, 0.06134989424448525)","(0.17579772627602022, 0.009676170026011843)","(8.73755963637183, 1.0972507869947266)"
4,5,"(0.013333333333333334, 0.051639777949432225)","(0.5466666666666666, 0.11254628677422752)","(0.02666666666666667, 0.04577377082170635)","(0.0, 0.0)","(0.26, 0.16388149028228557)","(0.16933333333333334, 0.04527166674117278)","(0.20810146477694313, 0.011521720346299034)","(8.55694325848793, 0.6058076767192688)"
