,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.9733333333333334, 0.05936168397046636)","(0.013333333333333334, 0.035186577527449844)","(0.0, 0.0)","(0.5, 0.1889822365046136)","(0.29733333333333334, 0.03453086955726647)","(4725.895561369198, 145.60138785815911)","(8.664901719801128, 0.6077773847202417)"
1,2,"(0.006666666666666667, 0.025819888974716113)","(0.9733333333333334, 0.05936168397046636)","(0.006666666666666667, 0.025819888974716113)","(0.02, 0.056061191058138816)","(0.62, 0.17808505191139912)","(0.32533333333333336, 0.04172472146045292)","(4370.607586380063, 278.186099129315)","(8.746612047683447, 1.0727856252806922)"
2,3,"(0.006666666666666667, 0.025819888974716113)","(0.9933333333333333, 0.025819888974716106)","(0.02666666666666667, 0.04577377082170635)","(0.006666666666666667, 0.025819888974716113)","(0.6266666666666667, 0.1667618775665584)","(0.332, 0.03985688683993555)","(4052.7320021728983, 247.28829229420396)","(8.622250142041594, 0.6163561628080864)"
3,4,"(0.0, 0.0)","(0.9933333333333333, 0.025819888974716106)","(0.04666666666666667, 0.07432233529572066)","(0.013333333333333334, 0.035186577527449844)","(0.6133333333333333, 0.1846489590960049)","(0.33333333333333337, 0.039761191895520194)","(3858.701459020283, 212.51600676196944)","(8.76961347873633, 1.0496157332061127)"
4,5,"(0.0, 0.0)","(1.0, 0.0)","(0.04, 0.050709255283711)","(0.0, 0.0)","(0.66, 0.17647338933351156)","(0.34, 0.03464101615137754)","(3724.7789689363913, 146.3978863121683)","(8.538844462608298, 0.5347633169318474)"
