,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.9733333333333334, 0.04577377082170634)","(0.18, 0.1082325538564332)","(0.0, 0.0)","(0.5866666666666667, 0.1505545305418162)","(0.34800000000000003, 0.03687817782917154)","(11.728335180568198, 0.004385942520400009)","(8.549058454080175, 0.5917589525520268)"
1,2,"(0.006666666666666667, 0.025819888974716113)","(1.0, 0.0)","(0.3, 0.11952286093343938)","(0.0, 0.0)","(0.7133333333333334, 0.13020130933435714)","(0.404, 0.028485585327118902)","(23.432166751660407, 0.001829270002409649)","(8.586848026048392, 0.6177959212460524)"
2,3,"(0.04666666666666667, 0.0915475416434127)","(0.9933333333333333, 0.025819888974716106)","(0.3666666666666667, 0.12344267996967352)","(0.08666666666666667, 0.12459458063579461)","(0.78, 0.16561573424216502)","(0.45466666666666666, 0.05475486497193868)","(35.13241657113346, 0.0019423744566203216)","(8.744741534224401, 1.0882296830494185)"
3,4,"(0.19333333333333333, 0.21865389045137934)","(1.0, 0.0)","(0.41333333333333333, 0.0915475416434127)","(0.32, 0.290811671999988)","(0.8066666666666666, 0.15796322658258458)","(0.5466666666666666, 0.11355720186425032)","(46.831844539893794, 0.0025470963092340507)","(8.747938394065326, 1.0782557754070716)"
4,5,"(0.25333333333333335, 0.23563490726929556)","(1.0, 0.0)","(0.4, 0.1690308509457033)","(0.4, 0.29277002188455997)","(0.82, 0.152127765851133)","(0.5746666666666667, 0.11500724614852173)","(58.52228431121136, 0.02430474454954231)","(8.55229915206631, 0.5947348875087888)"
