,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.006666666666666667, 0.025819888974716113)","(0.9733333333333334, 0.05936168397046636)","(0.14666666666666667, 0.10600988273786194)","(0.0, 0.0)","(0.48, 0.1780850519113991)","(0.32133333333333336, 0.04437931736207543)","(17.09506675497008, 0.3449298349715068)","(8.648545613139868, 0.6811028045727943)"
1,2,"(0.0, 0.0)","(0.9733333333333334, 0.04577377082170634)","(0.18666666666666668, 0.0990430401872025)","(0.013333333333333334, 0.035186577527449844)","(0.6333333333333333, 0.20236694629405505)","(0.36133333333333334, 0.043072474914243035)","(17.506581142529225, 0.36871699484541887)","(8.745250974285106, 1.0651838874132304)"
2,3,"(0.013333333333333334, 0.051639777949432225)","(0.9866666666666667, 0.03518657752744983)","(0.22, 0.11464230084422217)","(0.06666666666666667, 0.11751393027860063)","(0.6933333333333334, 0.19444671200491875)","(0.396, 0.047328638264796934)","(18.161063188143697, 0.3962383750849632)","(8.581724006993076, 0.6526830199515861)"
3,4,"(0.060000000000000005, 0.12983506020002017)","(1.0, 0.0)","(0.23333333333333334, 0.11126972805283736)","(0.12666666666666668, 0.19073791542572854)","(0.76, 0.16388149028228557)","(0.436, 0.06288311151879901)","(18.563490474860494, 0.6907174114262092)","(8.579367138600597, 0.6120136061148506)"
4,5,"(0.1, 0.15583874449479593)","(0.9866666666666667, 0.03518657752744983)","(0.23333333333333334, 0.11126972805283736)","(0.2, 0.22990681342044403)","(0.74, 0.12983506020002017)","(0.452, 0.08873717211116046)","(18.740773510203386, 1.007165049464835)","(8.787821480880181, 1.0793026347827672)"
