high_margin,low_margin,other,total,budget,time,time_defense
"(0.0, 0.0)","(0.88, 0.11464230084422217)","(0.2, 0.140152977645347)","(0.32, 0.08823669466675577)",1,"(84.16696699770982, 1.6301087484466203)","(5.0911456286034085, 4.1355090567365025)"
"(0.006666666666666667, 0.025819888974716113)","(0.98, 0.04140393356054124)","(0.37, 0.09599107101332767)","(0.43166666666666664, 0.046738889690746924)",2,"(85.1903770258495, 1.8456743646413358)","(4.670337626931723, 3.6852660699816964)"
"(0.0, 0.0)","(0.9466666666666667, 0.06399404734221843)","(0.36, 0.14417251570848824)","(0.4166666666666667, 0.08054871344779653)",3,"(84.45186598187429, 1.958394159423936)","(4.687881411538304, 4.082084954107338)"
"(0.0, 0.0)","(0.9466666666666667, 0.0915475416434127)","(0.43, 0.1645339739124676)","(0.45166666666666666, 0.08786488545054899)",4,"(84.58561547535938, 2.1234479342135555)","(4.779917282473374, 4.128900744353011)"
"(0.0, 0.0)","(0.9466666666666667, 0.0915475416434127)","(0.48, 0.16987390281365428)","(0.4766666666666667, 0.09840997820101278)",5,"(84.20797853557355, 1.838634495021614)","(4.401251773600234, 3.51736532004871)"
