budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.0, 0.0)","(0.76, 0.21646510771286642)","(0.29, 0.25787593916455254)","(0.335, 0.16818357317441643)","(117.7519291633546, 2.7013777179252583)","(4.720911007801381, 3.7606178291470904)"
2,"(0.013333333333333334, 0.051639777949432225)","(0.8933333333333333, 0.1162919151265879)","(0.45333333333333337, 0.12315302134607445)","(0.4533333333333333, 0.08121107126025426)","(154.67263426687956, 3.1618765401623965)","(5.348501182467832, 4.788027099816478)"
3,"(0.013333333333333334, 0.035186577527449844)","(0.9333333333333333, 0.0816496580927726)","(0.4766666666666667, 0.16782927833565472)","(0.47500000000000003, 0.09774237273860006)","(192.41422496819482, 4.366491077820441)","(4.4919776019989515, 3.4832920923011867)"
4,"(0.006666666666666667, 0.025819888974716113)","(0.94, 0.11212238211627763)","(0.55, 0.1679710859472121)","(0.5116666666666667, 0.09489969642181359)","(228.44241165655356, 6.992942379337554)","(4.774135309341363, 3.937546032411914)"
5,"(0.006666666666666667, 0.025819888974716113)","(0.9466666666666667, 0.06399404734221843)","(0.6466666666666666, 0.17265434778633237)","(0.5616666666666666, 0.0915475416434127)","(267.87147104233736, 8.606426383834124)","(4.517540303334439, 3.4423371271335093)"
