budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.0, 0.0)","(0.44666666666666666, 0.15522640914238173)","(0.05333333333333334, 0.05498917642417936)","(0.13833333333333334, 0.05658958342646597)","(0.042410118827441085, 0.019398081067662085)","(4.480010812531691, 4.4130742867732025)"
2,"(0.0, 0.0)","(0.5066666666666667, 0.19444671200491875)","(0.18666666666666668, 0.08957571949925673)","(0.22, 0.07629828681843762)","(0.07129358939904099, 0.031120571719121765)","(4.111588923078186, 3.5407565340724316)"
3,"(0.0, 0.0)","(0.48, 0.16987390281365428)","(0.18, 0.11148350294358098)","(0.21, 0.0772287881187172)","(0.0914851798520734, 0.0066826301708009)","(4.265528423211071, 4.3564925290151795)"
4,"(0.0, 0.0)","(0.4533333333333333, 0.1245945806357946)","(0.2, 0.11952286093343938)","(0.21333333333333332, 0.07954483611386066)","(0.11919921866307656, 0.009947848971160267)","(4.5497881331907895, 4.959203158128344)"
5,"(0.0, 0.0)","(0.47333333333333333, 0.15796322658258458)","(0.2, 0.1164964745021435)","(0.21833333333333335, 0.06712639109137614)","(0.14046585509010281, 0.015247420142507795)","(4.1591532429951865, 3.7441928259858637)"
