budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.0, 0.0)","(0.8733333333333333, 0.1486446705914413)","(0.2733333333333333, 0.2128603387423872)","(0.355, 0.1363425308342401)","(1233.5860787574395, 68.6994905771074)","(4.749905384071948, 4.334860727080441)"
2,"(0.006666666666666667, 0.025819888974716113)","(0.9533333333333334, 0.0915475416434127)","(0.47000000000000003, 0.16344505411386945)","(0.475, 0.09819805060619657)","(1151.2300120675238, 66.28323544005195)","(3.9279383590095676, 3.6354216572704035)"
3,"(0.006666666666666667, 0.025819888974716113)","(0.9733333333333334, 0.04577377082170634)","(0.4966666666666667, 0.17265434778633237)","(0.49333333333333335, 0.09232447954800245)","(1084.3496954372115, 43.10890834026631)","(4.110192691464908, 3.6907303096700956)"
4,"(0.0, 0.0)","(0.9866666666666667, 0.05163977794943221)","(0.56, 0.18631770102243564)","(0.5266666666666666, 0.09886257898623484)","(1052.8076868403004, 41.57585302740811)","(3.917831315996591, 3.781325244369559)"
5,"(0.0, 0.0)","(0.98, 0.04140393356054124)","(0.5633333333333334, 0.18561352577972587)","(0.5266666666666666, 0.0942388050696335)","(1007.7182029480851, 32.99101997521498)","(4.604479001796183, 4.097957807857854)"
