Unnamed: 0,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0.0,1,"(0.2866666666666667, 0.2748159557300295)","(0.5333333333333333, 0.23502786055720126)","(0.02666666666666667, 0.04577377082170635)","(0.96, 0.09102589898327995)","(0.4666666666666667, 0.2690370836538197)","(0.45466666666666666, 0.11795075647227089)","(0.06430800235442197, 0.014972202342686062)","(4.252311965272141, 1.3559184645004847)"
1.0,2,"(0.7133333333333334, 0.19952324127660873)","(0.64, 0.22928460168844433)","(0.07333333333333333, 0.08837151016885368)","(0.92, 0.13201731488169052)","(0.6866666666666666, 0.188477610139267)","(0.6066666666666667, 0.08640987597877148)","(0.10030783454033856, 0.01290782006022084)","(4.13667619273377, 1.1727821381582215)"
2.0,3,"(0.8066666666666666, 0.23744673588186546)","(0.6266666666666667, 0.24043611170022652)","(0.08666666666666667, 0.0833809387832792)","(0.9666666666666667, 0.06172133998483675)","(0.68, 0.17808505191139912)","(0.6333333333333333, 0.0943145698990251)","(0.17068877671845256, 0.040689237423117024)","(4.134880947061659, 1.1761205289204029)"
3.0,4,"(0.8200000000000001, 0.22740775209804462)","(0.6333333333333333, 0.2554174920362645)","(0.15333333333333335, 0.0915475416434127)","(0.9866666666666667, 0.05163977794943221)","(0.7066666666666667, 0.1667618775665584)","(0.66, 0.0848528137423857)","(0.2536913510722419, 0.02674797589629944)","(4.134293361663974, 1.1762547946545538)"
4.0,5,"(0.8333333333333334, 0.23196879921559238)","(0.6133333333333333, 0.24746332099544618)","(0.17333333333333334, 0.10327955589886445)","(0.9866666666666667, 0.05163977794943221)","(0.7133333333333334, 0.15522640914238175)","(0.664, 0.08724350159999639)","(0.3501399038475938, 0.05072284087727731)","(4.135240085993428, 1.1753254196679113)"
