Unnamed: 0,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0.0,1,"(0.29333333333333333, 0.2814926202195987)","(0.5466666666666666, 0.22318047362958035)","(0.04, 0.06324555320336758)","(0.98, 0.056061191058138796)","(0.44666666666666666, 0.2416215064536938)","(0.4613333333333333, 0.11450930509081327)","(0.06430800235442197, 0.014972202342686062)","(4.252311965272141, 1.3559184645004847)"
1.0,2,"(0.6866666666666666, 0.19952324127660873)","(0.6733333333333333, 0.19444671200491875)","(0.08, 0.09411239481143202)","(0.9533333333333334, 0.06399404734221843)","(0.68, 0.15675276256394519)","(0.6146666666666667, 0.0746292423217857)","(0.10030783454033856, 0.01290782006022084)","(4.13667619273377, 1.1727821381582215)"
2.0,3,"(0.8133333333333334, 0.23563490726929556)","(0.64, 0.22614786566062733)","(0.1, 0.13093073414159545)","(0.96, 0.05070925528371099)","(0.7, 0.16903085094570333)","(0.6426666666666667, 0.08310635755865291)","(0.17068877671845256, 0.040689237423117024)","(4.134880947061659, 1.1761205289204029)"
3.0,4,"(0.8066666666666666, 0.24043611170022652)","(0.62, 0.2704493615131253)","(0.08666666666666667, 0.10600988273786194)","(0.98, 0.04140393356054124)","(0.7133333333333334, 0.13557637102737477)","(0.6413333333333333, 0.07909006318898787)","(0.2536913510722419, 0.02674797589629944)","(4.134293361663974, 1.1762547946545538)"
4.0,5,"(0.8, 0.24201534780139167)","(0.62, 0.23664319132398465)","(0.11333333333333334, 0.0915475416434127)","(0.9866666666666667, 0.05163977794943221)","(0.7133333333333334, 0.15522640914238175)","(0.6466666666666666, 0.08164965809277261)","(0.3501399038475938, 0.05072284087727731)","(4.135240085993428, 1.1753254196679113)"
