,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.030000000000000002, 0.048304589153964794)","(0.48, 0.33928028399998594)","(0.16999999999999998, 0.12736648783028534)","(0.2125, 0.13756311682682648)","(0.3702122462913394, 0.08826129641103377)","(13.511607700691092, 10.7846199560985)"
1,2,"(0.13, 0.14944341180973264)","(0.65, 0.26352313834736496)","(0.395, 0.14424131015612537)","(0.3925, 0.11306954595390495)","(0.9931875502341427, 0.2288089495273123)","(13.937659561808687, 10.002339680142194)"
2,3,"(0.15, 0.19002923751652298)","(0.72, 0.17511900715418263)","(0.43, 0.14375905768565217)","(0.4325, 0.1142912945066246)","(1.4868259113864042, 0.2398844719422118)","(14.164625338383484, 10.449286041471858)"
3,4,"(0.2, 0.2403700850309326)","(0.9, 0.10540925533894598)","(0.585, 0.12258783698955528)","(0.5675, 0.08744045593049783)","(1.9934387345099822, 0.2896476414220388)","(14.805409156088718, 11.379754050840543)"
4,5,"(0.27, 0.2584139659108574)","(0.83, 0.11595018087284059)","(0.61, 0.16633299933166198)","(0.58, 0.13165611772087665)","(2.3642031895462425, 0.4092129578851116)","(14.534980615973472, 10.437865737578308)"
