budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.15333333333333335, 0.15522640914238175)","(0.5466666666666666, 0.3461351236287988)","(0.3566666666666667, 0.1897993928436272)","(0.35333333333333333, 0.14846436160461765)","(5.835179194889497, 0.8363166564204614)","(3.3837659229990096, 2.5252458529793382)"
2,"(0.34, 0.20632844828435212)","(0.7466666666666667, 0.22318047362958035)","(0.5633333333333334, 0.1420093893609386)","(0.5533333333333333, 0.112942252416677)","(6.692680285467456, 0.11837775555235694)","(2.9567650734679773, 2.068639288728344)"
3,"(0.44, 0.18822478962286404)","(0.8133333333333334, 0.17674302033770736)","(0.6766666666666666, 0.11317916685293195)","(0.6516666666666666, 0.09749847373652769)","(7.7633611955175486, 0.16933393016481918)","(3.1445478952024133, 2.3458667365421157)"
4,"(0.3933333333333333, 0.20862360730226462)","(0.8533333333333334, 0.17265434778633237)","(0.7666666666666667, 0.0994029797388005)","(0.6950000000000001, 0.08462100380942242)","(8.963428769772872, 0.2482344910545982)","(3.1667805331991987, 2.385339098505283)"
5,"(0.4866666666666667, 0.32921262488086994)","(0.92, 0.152127765851133)","(0.7833333333333333, 0.12770874601813226)","(0.7433333333333333, 0.13544459418979443)","(9.956596511268678, 0.23067423396000666)","(3.0047285456676036, 2.287780497072804)"
