,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.15, 0.18408935028645435)","(0.58, 0.30840089349921007)","(0.35000000000000003, 0.15092308563562362)","(0.3575, 0.14674713701541922)","(17.13932505612029, 1.3928845836799182)","(16.299981485062744, 12.794034640318882)"
1,2,"(0.31, 0.29230881691191674)","(0.75, 0.20138409955990955)","(0.595, 0.1892235597264663)","(0.5625, 0.13705736836165439)","(20.888424725353254, 0.8198574966963735)","(15.210799934307579, 11.274805179169572)"
2,3,"(0.33, 0.23118054512532937)","(0.9400000000000001, 0.08432740427115676)","(0.715, 0.1453921899170959)","(0.675, 0.09501461875826149)","(25.22058202683693, 1.1834439532938537)","(14.775298092223238, 10.2259330100018)"
3,4,"(0.47, 0.24060109910158117)","(0.95, 0.05270462766947298)","(0.78, 0.09189365834726818)","(0.745, 0.07434902674398487)","(29.777327383076774, 1.696243422001907)","(14.503085110662505, 10.05556948211751)"
4,5,"(0.62, 0.16193277068654827)","(0.99, 0.031622776601683784)","(0.855, 0.11890705987824644)","(0.83, 0.06952217871538068)","(33.31486727874726, 2.0758816488782053)","(15.121111795492471, 12.389746422131587)"
