budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.08666666666666667, 0.0990430401872025)","(0.4666666666666667, 0.3754362541795624)","(0.24, 0.22135943621178655)","(0.2583333333333333, 0.18532468290877524)","(5.835179194889497, 0.8363166564204614)","(3.3837659229990096, 2.5252458529793382)"
2,"(0.16, 0.14040757000349274)","(0.6066666666666667, 0.34530869557266475)","(0.41, 0.17748239349298847)","(0.39666666666666667, 0.14294937498822374)","(6.692680285467456, 0.11837775555235694)","(2.9567650734679773, 2.068639288728344)"
3,"(0.25333333333333335, 0.2325838302531758)","(0.76, 0.20632844828435215)","(0.51, 0.10555973258234952)","(0.5083333333333333, 0.10249854818948599)","(7.7633611955175486, 0.16933393016481918)","(3.1445478952024133, 2.3458667365421157)"
4,"(0.3333333333333333, 0.29920529661723827)","(0.8733333333333333, 0.1279880946844369)","(0.6133333333333333, 0.15976172734359603)","(0.6083333333333333, 0.12630273533214137)","(8.963428769772872, 0.2482344910545982)","(3.1667805331991987, 2.385339098505283)"
5,"(0.35333333333333333, 0.341983012666391)","(0.8666666666666667, 0.13451854182690987)","(0.64, 0.15142183273415835)","(0.625, 0.15148078614606067)","(9.956596511268678, 0.23067423396000666)","(3.0047285456676036, 2.287780497072804)"
