,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.7066666666666667, 0.19444671200491875)","(0.02666666666666667, 0.05936168397046637)","(0.12666666666666668, 0.10997835284835873)","(0.18666666666666668, 0.14074631010979938)","(0.20933333333333334, 0.06088240030309799)","(16.96673720946225, 0.1373859658378714)","(1.5984970215475187, 0.7818585148047114)"
1,2,"(0.006666666666666667, 0.025819888974716113)","(0.8666666666666667, 0.12909944487358058)","(0.05333333333333334, 0.051639777949432225)","(0.43333333333333335, 0.1877181270897812)","(0.42, 0.15675276256394516)","(0.356, 0.054089872302625054)","(17.67894293158315, 0.29291724735909597)","(1.44471639386223, 0.7573675305536236)"
2,3,"(0.006666666666666667, 0.025819888974716113)","(0.92, 0.06761234037828132)","(0.09333333333333334, 0.07037315505489969)","(0.6533333333333333, 0.16417180315870614)","(0.5066666666666667, 0.1869555587629877)","(0.436, 0.043556203428936006)","(18.27749773267036, 0.3209313446653362)","(1.4044040745977933, 0.6315658220003303)"
3,4,"(0.04, 0.06324555320336758)","(0.92, 0.094112394811432)","(0.12000000000000001, 0.06761234037828133)","(0.74, 0.14040757000349274)","(0.66, 0.145405835999994)","(0.496, 0.04222389303293982)","(18.746072391280904, 0.48344905357729695)","(1.5836229008700078, 0.540393712233196)"
4,5,"(0.060000000000000005, 0.0632455532033676)","(0.9533333333333334, 0.07432233529572063)","(0.16, 0.10555973258234952)","(0.84, 0.11212238211627763)","(0.7333333333333334, 0.16329931618554522)","(0.5493333333333333, 0.06452758730813919)","(19.172315153006153, 0.573917737944937)","(1.7641844662527244, 0.9533766811519713)"
