,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.006666666666666667, 0.025819888974716113)","(0.7466666666666667, 0.14074631010979938)","(0.04, 0.07367883976130073)","(0.3, 0.2104417123236605)","(0.29333333333333333, 0.15796322658258458)","(0.2773333333333333, 0.0696385224536234)","(8.00877965320833, 1.0498475949047583)","(1.0670121526811271, 0.5422727050391399)"
1,2,"(0.03333333333333333, 0.06172133998483677)","(0.9266666666666666, 0.09611501047232549)","(0.08, 0.09411239481143203)","(0.6, 0.1511857892036909)","(0.45999999999999996, 0.1804755622554715)","(0.42, 0.0518238775634773)","(11.060367492989947, 0.2981084971423498)","(1.0462807814435413, 0.43191899160806846)"
2,3,"(0.04, 0.08280786712108251)","(0.92, 0.06761234037828132)","(0.11333333333333334, 0.11254628677422755)","(0.74, 0.12421180068162378)","(0.6066666666666667, 0.2016597794967223)","(0.484, 0.045481550419608927)","(14.308067581818129, 0.34182268853088305)","(1.0492329298052936, 0.4980792347153913)"
3,4,"(0.09333333333333334, 0.13345232785352157)","(0.9533333333333334, 0.0833809387832792)","(0.12666666666666668, 0.1162919151265879)","(0.8066666666666666, 0.11629191512658792)","(0.7466666666666667, 0.188477610139267)","(0.5453333333333333, 0.05578871707057755)","(17.54976870226674, 0.3590764037610313)","(0.9508723021640132, 0.310419898109611)"
4,5,"(0.09333333333333334, 0.16242214252050852)","(0.9400000000000001, 0.09102589898327995)","(0.16, 0.13522468075656266)","(0.8333333333333334, 0.10465362369445673)","(0.7266666666666667, 0.10997835284835876)","(0.5506666666666666, 0.052842983946603084)","(20.983973812839636, 0.5674109423275511)","(1.0077262804067384, 0.3526681023651734)"
