budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.9466666666666667, 0.10600988273786194)","(0.02666666666666667, 0.04577377082170635)","(0.18666666666666668, 0.15976172734359606)","(0.31333333333333335, 0.14074631010979935)","(0.2946666666666667, 0.04103424818136094)","(136.68744949443888, 19.00722625904816)","(0.8918203641970952, 0.1111263959033318)"
2,"(0.0, 0.0)","(0.9533333333333334, 0.10600988273786194)","(0.08, 0.06761234037828133)","(0.8466666666666667, 0.15522640914238175)","(0.5266666666666666, 0.14375905768565214)","(0.48133333333333334, 0.049837832254317836)","(138.32774797123082, 20.061438652258012)","(0.862127966270782, 0.0492374173685909)"
3,"(0.0, 0.0)","(0.9666666666666667, 0.08164965809277261)","(0.07333333333333333, 0.08837151016885368)","(0.9933333333333333, 0.025819888974716106)","(0.7466666666666667, 0.10600988273786197)","(0.556, 0.02529822128134702)","(138.70443115408222, 19.95965838807358)","(0.8652266717903937, 0.04923540875926425)"
4,"(0.006666666666666667, 0.025819888974716113)","(0.9666666666666667, 0.08164965809277261)","(0.1, 0.08451542547285167)","(0.9933333333333333, 0.025819888974716106)","(0.8466666666666667, 0.09154754164341271)","(0.5826666666666667, 0.033693294514459314)","(138.0811012289099, 19.712518071047228)","(0.8581773246638477, 0.05073607650377833)"
5,"(0.013333333333333334, 0.051639777949432225)","(0.9666666666666667, 0.07237468644557457)","(0.12666666666666668, 0.09611501047232549)","(1.0, 0.0)","(0.8733333333333333, 0.10997835284835875)","(0.596, 0.03942443042436649)","(137.72617719842432, 19.874118462945678)","(0.861303188217183, 0.05047344721927631)"
