budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.4666666666666667, 0.1877181270897812)","(0.006666666666666667, 0.025819888974716113)","(0.006666666666666667, 0.025819888974716113)","(0.05333333333333334, 0.06399404734221845)","(0.10666666666666667, 0.039761191895520194)","(0.07129062879830599, 0.01927031477552266)","(0.45191949425886074, 0.160270429022661)"
2,"(0.0, 0.0)","(0.68, 0.1424279266355945)","(0.013333333333333334, 0.035186577527449844)","(0.5533333333333333, 0.4120795115138871)","(0.24, 0.17237832147426693)","(0.29733333333333334, 0.11054841645610479)","(0.11070524081587792, 0.01974147835290143)","(0.4104704232265552, 0.023229007518681444)"
3,"(0.0, 0.0)","(0.72, 0.11464230084422218)","(0.013333333333333334, 0.035186577527449844)","(0.5666666666666667, 0.3062834043978286)","(0.32666666666666666, 0.1486446705914413)","(0.3253333333333333, 0.07872798256081022)","(0.17324810791760684, 0.03941729309871813)","(0.40397531967610123, 0.02222361008930558)"
4,"(0.0, 0.0)","(0.6666666666666666, 0.1397276262011544)","(0.006666666666666667, 0.025819888974716113)","(0.6333333333333333, 0.34364987719368983)","(0.41333333333333333, 0.14573295865416042)","(0.344, 0.09325847337986429)","(0.24731477728734413, 0.03390327017817735)","(0.40160072992245355, 0.023100049449542238)"
5,"(0.0, 0.0)","(0.72, 0.161245154965971)","(0.006666666666666667, 0.025819888974716113)","(0.8666666666666667, 0.12909944487358058)","(0.52, 0.18593393604027364)","(0.4226666666666667, 0.05897537823613543)","(0.3361333618561427, 0.0484817847292884)","(0.3984940577919284, 0.02190050669732875)"
