budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.05333333333333334, 0.10600988273786194)","(0.5933333333333334, 0.16242214252050852)","(0.03333333333333333, 0.06172133998483677)","(0.20666666666666667, 0.26583202716502513)","(0.13333333333333333, 0.09759000729485333)","(0.20400000000000001, 0.08148619514985345)","(7.762463014444802, 0.9957738377963824)","(1.4328691243970146, 0.6293572301951219)"
2,"(0.12666666666666668, 0.13870146083619753)","(0.78, 0.1820517979665599)","(0.04666666666666667, 0.06399404734221845)","(0.3333333333333333, 0.22886885410853172)","(0.27999999999999997, 0.22103651928390217)","(0.31333333333333335, 0.0915475416434127)","(9.15678961444258, 0.3144009362403734)","(1.362409461933809, 0.5857526653798698)"
3,"(0.20666666666666667, 0.1830950832868254)","(0.8333333333333334, 0.1588650220724979)","(0.04, 0.050709255283711)","(0.47333333333333333, 0.34114652626247327)","(0.4, 0.19272482233188631)","(0.39066666666666666, 0.12600831416257913)","(10.882106595571774, 0.39051750802108115)","(1.1916589136739881, 0.5820637238988823)"
4,"(0.22, 0.20071301473923978)","(0.8066666666666666, 0.13870146083619755)","(0.02666666666666667, 0.05936168397046637)","(0.43333333333333335, 0.34364987719368983)","(0.42, 0.22424476423255524)","(0.38133333333333336, 0.15202756642260953)","(12.583809030168535, 0.4360745294212389)","(1.2305141673306934, 0.49771542108882055)"
5,"(0.3066666666666667, 0.3390462814312833)","(0.88, 0.11464230084422217)","(0.006666666666666667, 0.025819888974716113)","(0.6666666666666666, 0.33094381626464864)","(0.62, 0.1820517979665599)","(0.496, 0.139427400463467)","(14.335448488876379, 0.6601741466237914)","(1.2122675472055562, 0.535152221500056)"
