,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.0, 0.0)","(0.8666666666666667, 0.16329931618554522)","(0.0, 0.0)","(0.02, 0.07745966692414834)","(0.22666666666666668, 0.13345232785352157)","(0.22266666666666668, 0.04267261863247182)","(22.666229088262966, 1.2626431559878335)"
1,2,"(0.42, 0.34475664294853386)","(0.9400000000000001, 0.13522468075656263)","(0.006666666666666667, 0.025819888974716113)","(0.7133333333333334, 0.2642149197330155)","(0.37333333333333335, 0.15796322658258455)","(0.4906666666666667, 0.10766791979220622)","(29.047083933620403, 1.2139253708744837)"
2,3,"(0.41333333333333333, 0.2996823715361379)","(0.96, 0.0736788397613007)","(0.0, 0.0)","(0.8066666666666666, 0.25764501233470904)","(0.5666666666666667, 0.11126972805283736)","(0.5493333333333333, 0.09160993915717307)","(35.386953534372154, 1.3655088086918625)"
3,4,"(0.5066666666666667, 0.3614784456460256)","(0.9666666666666667, 0.08164965809277261)","(0.02666666666666667, 0.05936168397046637)","(0.9066666666666666, 0.12227992865708155)","(0.7066666666666667, 0.1791514389985135)","(0.6226666666666667, 0.08136923485539471)","(41.89470871227483, 1.8558612286962648)"
4,5,"(0.4266666666666667, 0.3936399128040511)","(0.9733333333333334, 0.05936168397046636)","(0.02, 0.056061191058138816)","(0.8066666666666666, 0.21536237457121515)","(0.7, 0.17728105208558367)","(0.5853333333333334, 0.11795075647227088)","(48.003224333034204, 2.2807280096372042)"
