,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.02666666666666667, 0.04577377082170635)","(0.6666666666666666, 0.08164965809277262)","(0.06666666666666667, 0.09759000729485333)","(0.02666666666666667, 0.07037315505489969)","(0.14666666666666667, 0.11872336794093274)","(0.18666666666666668, 0.052734735999646204)","(166.6229803811138, 10.281254661078146)","(7.892537648168703, 3.5817034217610604)"
1,2,"(0.02, 0.056061191058138816)","(0.7, 0.1362770287738494)","(0.06666666666666667, 0.08997354108424375)","(0.11333333333333334, 0.0990430401872025)","(0.2, 0.1414213562373095)","(0.22, 0.06546536707079771)","(160.9007387639334, 8.212768544133942)","(7.988433368814488, 3.676346167167937)"
2,3,"(0.04666666666666667, 0.07432233529572066)","(0.78, 0.16987390281365428)","(0.06666666666666667, 0.09759000729485333)","(0.09333333333333334, 0.07988086367179803)","(0.3333333333333333, 0.15886502207249786)","(0.264, 0.08007139671211294)","(154.31850254805758, 9.359078403521595)","(7.906831873425593, 3.620661573655449)"
3,4,"(0.09333333333333334, 0.12227992865708155)","(0.8266666666666667, 0.1279880946844369)","(0.08666666666666667, 0.0915475416434127)","(0.2, 0.14638501094227996)","(0.4, 0.1889822365046136)","(0.32133333333333336, 0.08157964265206177)","(148.17569306020934, 9.05197096023569)","(7.943182028022905, 3.6474669681084726)"
4,5,"(0.13333333333333333, 0.1447493728911492)","(0.8933333333333333, 0.1334523278535216)","(0.08666666666666667, 0.0915475416434127)","(0.18666666666666668, 0.14074631010979938)","(0.48666666666666664, 0.10600988273786192)","(0.35733333333333334, 0.08581264198129272)","(117.34823350301012, 21.941458503122245)","(6.810531558096409, 3.4312843994437703)"
