,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.21333333333333335, 0.12459458063579461)","(0.006666666666666667, 0.025819888974716113)","(0.02, 0.041403933560541256)","(0.1, 0.09258200997725514)","(0.068, 0.02596701204000403)","(159.4415376369686, 8.450819262226881)","(1.9936354528646916, 0.5170122718264308)"
1,2,"(0.0, 0.0)","(0.36, 0.16388149028228557)","(0.02, 0.041403933560541256)","(0.02666666666666667, 0.04577377082170635)","(0.16, 0.12983506020002017)","(0.11333333333333333, 0.04820590756130958)","(155.49320804228384, 8.133022656753358)","(1.9006619342602789, 0.439293993749104)"
2,3,"(0.006666666666666667, 0.025819888974716113)","(0.4666666666666667, 0.17182493859684492)","(0.04, 0.07367883976130073)","(0.10666666666666667, 0.07988086367179802)","(0.22, 0.13201731488169052)","(0.168, 0.05280692595267621)","(148.30906450987484, 5.979490118103958)","(1.9249464792354654, 0.399100768818107)"
3,4,"(0.0, 0.0)","(0.5733333333333334, 0.198086080374405)","(0.04, 0.06324555320336758)","(0.13333333333333333, 0.11126972805283736)","(0.2733333333333333, 0.1709915063331955)","(0.204, 0.05082181758710665)","(139.39086501238248, 5.006105536148964)","(1.9104886152315885, 0.38796664426602195)"
4,5,"(0.006666666666666667, 0.025819888974716113)","(0.5733333333333334, 0.13345232785352157)","(0.060000000000000005, 0.07367883976130073)","(0.10666666666666667, 0.08837151016885368)","(0.30666666666666664, 0.15796322658258458)","(0.21066666666666667, 0.04949266419908923)","(135.91433441285045, 6.674010223896003)","(1.9052880828113605, 0.34932670403973043)"
