,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.006666666666666667, 0.025819888974716113)","(0.9, 0.1414213562373095)","(0.02666666666666667, 0.04577377082170635)","(0.2866666666666667, 0.24746332099544618)","(0.32, 0.15212776585113297)","(0.308, 0.0679495611254617)","(134.7976572968997, 6.950476208410074)"
1,2,"(0.02, 0.041403933560541256)","(0.9266666666666666, 0.079880863671798)","(0.04666666666666667, 0.06399404734221845)","(0.7333333333333333, 0.12909944487358058)","(0.5666666666666667, 0.1632993161855452)","(0.45866666666666667, 0.05829318346166419)","(129.905071897277, 8.677967713957969)"
2,3,"(0.04666666666666667, 0.11254628677422755)","(0.96, 0.05070925528371099)","(0.08666666666666667, 0.0915475416434127)","(0.8466666666666667, 0.22949219304078008)","(0.6466666666666667, 0.2559761893688738)","(0.5173333333333333, 0.09557843948944812)","(126.59506973689422, 8.77251161040224)"
3,4,"(0.060000000000000005, 0.08280786712108251)","(0.9933333333333333, 0.025819888974716106)","(0.060000000000000005, 0.07367883976130073)","(0.9533333333333334, 0.06399404734221843)","(0.7466666666666667, 0.15522640914238175)","(0.5626666666666666, 0.03534860406754146)","(127.50916700717062, 9.370781082612144)"
4,5,"(0.08666666666666667, 0.13020130933435714)","(0.9933333333333333, 0.025819888974716106)","(0.08666666666666667, 0.06399404734221845)","(0.9400000000000001, 0.09102589898327995)","(0.78, 0.13201731488169055)","(0.5773333333333334, 0.0549631911460059)","(121.21288418332115, 10.592198056308575)"
