,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.0, 0.0)","(0.9466666666666667, 0.06399404734221843)","(0.02666666666666667, 0.04577377082170635)","(0.006666666666666667, 0.025819888974716113)","(0.19333333333333333, 0.12227992865708155)","(0.23466666666666666, 0.027740292167239503)","(17.388658838781218, 0.5687805154034935)"
1,2,"(0.0, 0.0)","(0.9533333333333334, 0.0833809387832792)","(0.006666666666666667, 0.025819888974716113)","(0.45333333333333337, 0.2474633209954462)","(0.38, 0.15212776585113297)","(0.3586666666666667, 0.060694394500724065)","(17.9775774441349, 0.48811054224726075)"
2,3,"(0.02, 0.041403933560541256)","(0.9933333333333333, 0.025819888974716106)","(0.02, 0.041403933560541256)","(0.7866666666666666, 0.12459458063579462)","(0.5533333333333333, 0.14074631010979938)","(0.4746666666666667, 0.043072474914243035)","(19.025949416588993, 0.5245946187781523)"
3,4,"(0.04, 0.07367883976130073)","(0.9866666666666667, 0.05163977794943221)","(0.05333333333333334, 0.051639777949432225)","(0.8, 0.2)","(0.6733333333333333, 0.1279880946844369)","(0.5106666666666667, 0.04949266419908924)","(19.129838661973675, 0.6017804476330227)"
4,5,"(0.04666666666666667, 0.0833809387832792)","(0.98, 0.07745966692414835)","(0.08, 0.06761234037828133)","(0.88, 0.161245154965971)","(0.7, 0.1851640199545103)","(0.5373333333333333, 0.039904648255321744)","(19.463926284356663, 0.7454157006958558)"
