,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.96, 0.06324555320336757)","(0.3, 0.0944911182523068)","(0.39, 0.04799553550666383)","(0.25921035948946763, 0.02120221378035822)","(1.368587688661258, 0.317564754887563)"
1,2,"(0.0, 0.0)","(1.0, 0.0)","(0.5, 0.10522085616183025)","(0.5, 0.05261042808091513)","(0.48392441267884956, 0.015875965707452963)","(1.3159269496662698, 0.0739022184565397)"
2,3,"(0.0, 0.0)","(1.0, 0.0)","(0.6633333333333333, 0.0915475416434127)","(0.5816666666666667, 0.04577377082170634)","(0.6746820899347464, 0.026620148303651982)","(1.2648491359335214, 0.08595833540195355)"
3,4,"(0.0, 0.0)","(1.0, 0.0)","(0.7466666666666667, 0.08957571949925675)","(0.6233333333333333, 0.044787859749628386)","(0.8887079932416478, 0.04775922642608576)","(1.2887312437291256, 0.10827778850816776)"
4,5,"(0.006666666666666667, 0.025819888974716113)","(1.0, 0.0)","(0.8133333333333334, 0.08957571949925673)","(0.6583333333333333, 0.04596841565787577)","(1.0725645278696903, 0.07817135791237816)","(1.2853124267382858, 0.10883011245739936)"
