budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.006666666666666667, 0.025819888974716113)","(0.7666666666666667, 0.13451854182690987)","(0.03333333333333333, 0.06172133998483677)","(0.013333333333333334, 0.035186577527449844)","(0.24666666666666667, 0.17674302033770736)","(0.21333333333333335, 0.049952358255022304)","(116.32529319648941, 13.995463323058734)","(41.37528725899756, 6.172136522232757)"
2,"(0.013333333333333334, 0.035186577527449844)","(0.8666666666666667, 0.12344267996967355)","(0.08, 0.07745966692414834)","(0.16, 0.12421180068162375)","(0.36, 0.17647338933351156)","(0.296, 0.04420730385678043)","(117.62294323891402, 10.126107427979202)","(52.13124772273004, 23.065088384315732)"
3,"(0.006666666666666667, 0.025819888974716113)","(0.8, 0.16035674514745463)","(0.12666666666666668, 0.08837151016885368)","(0.12000000000000001, 0.11464230084422218)","(0.36, 0.12983506020002017)","(0.2826666666666667, 0.06181385266226642)","(113.93551904211442, 13.273214551352613)","(96.23489351483683, 2.1170207529779854)"
4,"(0.02666666666666667, 0.04577377082170635)","(0.8533333333333334, 0.13020130933435714)","(0.18, 0.1082325538564332)","(0.14, 0.11212238211627762)","(0.4, 0.1647508942095828)","(0.32, 0.07171371656006362)","(113.67734601038198, 11.819306892238313)","(95.35037538036704, 0.6288702041248591)"
5,"(0.05333333333333334, 0.051639777949432225)","(0.88, 0.1082325538564332)","(0.16, 0.11832159566199232)","(0.32666666666666666, 0.26313132697969516)","(0.5933333333333334, 0.17511900715418263)","(0.4026666666666667, 0.08344944292090586)","(113.7889604964604, 12.7115963015178)","(73.79306927087406, 28.122171240582574)"
