budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.006666666666666667, 0.025819888974716113)","(0.64, 0.09856107606091623)","(0.02, 0.041403933560541256)","(0.22, 0.23052734575936354)","(0.12000000000000001, 0.056061191058138816)","(0.20133333333333334, 0.059745491959844216)","(37.44274514596909, 3.040632344783311)","(42.151004973116024, 6.565354746847156)"
2,"(0.04666666666666667, 0.06399404734221845)","(0.7266666666666667, 0.1279880946844369)","(0.02666666666666667, 0.04577377082170635)","(0.11333333333333334, 0.0915475416434127)","(0.22666666666666668, 0.13870146083619753)","(0.228, 0.046475800154489)","(38.676069380591315, 2.518548956739146)","(42.026066994294524, 6.543759226026866)"
3,"(0.02666666666666667, 0.07037315505489969)","(0.7133333333333334, 0.14074631010979938)","(0.05333333333333334, 0.06399404734221845)","(0.08666666666666667, 0.14074631010979935)","(0.2733333333333333, 0.13345232785352157)","(0.2306666666666667, 0.05175031630913224)","(36.82657149191946, 3.433492084453898)","(86.31740565976749, 23.316053801566802)"
4,"(0.013333333333333334, 0.035186577527449844)","(0.72, 0.16987390281365428)","(0.08, 0.08618916073713347)","(0.1, 0.1362770287738494)","(0.28, 0.14735767952260145)","(0.23866666666666667, 0.052080523733742855)","(38.16218607413272, 3.651145127346774)","(95.92053244250516, 1.3727533697012182)"
5,"(0.02, 0.041403933560541256)","(0.7266666666666667, 0.12227992865708157)","(0.06666666666666667, 0.0723746864455746)","(0.12666666666666668, 0.12798809468443686)","(0.3933333333333333, 0.2186538904513794)","(0.26666666666666666, 0.05327377627027428)","(38.552000145614144, 3.217547272303396)","(85.73998000739763, 22.255689635823845)"
