budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.013333333333333334, 0.051639777949432225)","(0.8666666666666667, 0.12909944487358055)","(0.3566666666666667, 0.1279880946844369)","(0.3983333333333333, 0.07875519635161195)","(5.883929319831077, 0.9233283184018266)","(1.2527035312688288, 0.5155031772330033)"
2,"(0.05333333333333334, 0.0833809387832792)","(0.9866666666666667, 0.05163977794943221)","(0.62, 0.10488088481701514)","(0.57, 0.05685193802451115)","(6.75563806699356, 0.16733085939269554)","(1.130164715729188, 0.4329073422624845)"
3,"(0.1, 0.11338934190276817)","(0.9866666666666667, 0.03518657752744983)","(0.7066666666666667, 0.12227992865708154)","(0.625, 0.06614378277661474)","(7.941366224060767, 0.1880221966634089)","(1.231923043266094, 0.5633819588583296)"
4,"(0.18666666666666668, 0.1807392228230128)","(0.9866666666666667, 0.03518657752744983)","(0.8233333333333334, 0.10834249045547752)","(0.705, 0.072702917999997)","(9.087999726420579, 0.26362446329468586)","(1.0708235710044391, 0.3560960527891023)"
5,"(0.16, 0.17237832147426693)","(0.9933333333333333, 0.025819888974716106)","(0.8633333333333333, 0.07432233529572065)","(0.72, 0.04246847570341357)","(10.317451300503064, 0.2954355696126694)","(1.035384414670989, 0.3850216296920458)"
