,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.9866666666666667, 0.03518657752744983)","(0.27666666666666667, 0.09036961141150639)","(0.385, 0.04891683905218266)","(0.28030106170723834, 0.020358672381416733)","(1.3421697749911496, 0.2504125393746963)"
1,2,"(0.0, 0.0)","(0.9933333333333333, 0.025819888974716106)","(0.57, 0.1082325538564332)","(0.5333333333333333, 0.05643158521186348)","(0.5071589751789968, 0.010010779019251553)","(1.3573624161072075, 0.08687709085418067)"
2,3,"(0.0, 0.0)","(0.9933333333333333, 0.025819888974716106)","(0.7633333333333333, 0.10600988273786194)","(0.63, 0.055259129820975535)","(0.7434588271037986, 0.014901361032574558)","(1.3991503324204435, 0.0830701854688571)"
3,4,"(0.0, 0.0)","(1.0, 0.0)","(0.8766666666666666, 0.08208590157935307)","(0.6883333333333334, 0.04104295078967652)","(0.9658019452976684, 0.020382522581287015)","(1.292067983901749, 0.14691220488704432)"
4,5,"(0.006666666666666667, 0.025819888974716113)","(1.0, 0.0)","(0.9299999999999999, 0.06761234037828132)","(0.7166666666666667, 0.036187343222787285)","(1.1865351276937872, 0.029799153951190503)","(1.29115563291125, 0.1408177241498874)"
