dataset,model,purification,mean,std,time,std_time
cora,GCN,None,0.8371898054996647,0.0077314078883938,1.1146552957594396,0.476782784746961
cora,GIN,None,0.7625083836351442,0.0324736867329891,1.154258529935032,0.3120746453156128
cora,GSAGE,None,0.8209255533199195,0.0270436147582359,0.9060616872739048,0.4833202994769237
citeseer,GCN,None,0.7322274881516587,0.0163256703844237,1.529193024492512,0.6936172916780362
cora,PNA,None,0.7333333333333333,0.0404675608320045,8.513274757781376,2.455177781853259
pubmed,GCN,None,0.8660327120578166,0.002611686351532,2.975507992661248,0.4745121111625683
citeseer,GIN,None,0.6507503949447078,0.0761101520037311,7.350394553955024,5.46487146820918
citeseer,GSAGE,None,0.7159162717219589,0.0296173547922938,4.658251263247803,5.296811079080828
pubmed,GIN,None,0.7680951777186087,0.1502887272880421,8.48491846541874,10.764849296254676
citeseer,PNA,None,0.6567535545023697,0.0573132289006882,14.465334084754188,4.770616919178561
pubmed,GSAGE,None,0.8609822070073117,0.006312266592369,14.605517026331896,15.558750207655118
cora,GNNGuard,None,0.7993963782696177,0.012545523453249,1.9059567358034355,0.4744193172414013
cora,ElasticGNN,None,0.8373574782025486,0.0142562653010498,5.025444354551534,2.784887851651428
cora,GRAND,None,0.7309188464118042,0.0549522713264389,6.458308295331275,2.997127125289881
pubmed,PNA,None,0.8400743840074384,0.0087112398123564,19.08959629054492,4.321863304453731
cora,RobustGCN,None,0.8331321260898725,0.0138873955463917,3.950313663203269,2.9929841949496256
squirrel,GCN,None,0.3510726865193724,0.0155228873925618,1.8925943077076224,0.5856889592108873
squirrel,GIN,None,0.2568779508214232,0.1080564902024046,6.039189415456106,2.8711125116530707
squirrel,GSAGE,None,0.3714377201408901,0.0124333322910787,6.5411941134215645,1.461388397870241
cora,GCORN,None,0.6925553319919517,0.0213769591942354,54.98577508147185,8.237597088305836
chameleon,GCN,None,0.4466374269005848,0.0192195269271733,2.014650783734396,0.6014546648865877
chameleon,GIN,None,0.3839181286549707,0.0482133255666718,1.9993191086376707,0.6678682859811421
chameleon,GSAGE,None,0.4991228070175438,0.0201979007573821,2.4450315588153897,0.8518230479139781
squirrel,GNNGuard,None,0.1933397374319564,0.0057575863887826,5.422801037520791,0.6304323636703539
squirrel,ElasticGNN,None,0.3687479987191803,0.0153349175629262,10.674091488914565,2.78872041577014
squirrel,GRAND,None,0.2033941722702529,0.0086719224796053,28.937865526865547,23.1310754264798
squirrel,RobustGCN,None,0.2740954210694845,0.0153941187815158,2.237014837594082,0.5609800211986308
cora,RUNG,None,0.4977531857813548,0.0394365952762173,130.51674694698303,5.34106466446188
chameleon,GNNGuard,None,0.2134502923976608,0.0260094252553467,2.36901629466253,0.5415616876651009
chameleon,ElasticGNN,None,0.512280701754386,0.0237901418275104,9.718139413945998,5.054831249536733
chameleon,GRAND,None,0.217251461988304,0.0440430584537761,5.419713078035662,6.922752748435799
chameleon,RobustGCN,None,0.3818713450292397,0.0319503821746145,1.0925706337516508,0.2177746452371783
chameleon,GCORN,None,0.2485380116959064,0.0268669652980551,15.398897551450258,5.335331839147055
chameleon,RUNG,None,0.5182748538011696,0.0275861237822461,7.693252627924084,2.7777255807859813
squirrel,GCORN,None,0.198655139289145,0.0251658028458753,130.52813222490562,134.0727606198832
cora,GCN,Jaccard,0.8293427230046948,0.0096053819643278,1.2361018934442352,0.6778465834634898
cora,GCN,GARNET,0.8049966465459423,0.0205558605884037,2.561133481701836,2.5081636273023378
citeseer,GCN,Jaccard,0.732740916271722,0.0145644204306029,1.583352154524376,0.7869138373188037
citeseer,GCN,GARNET,0.6941548183254345,0.0450517868994189,3.867510801274329,3.6605097628466514
squirrel,RUNG,None,0.3512007684918348,0.016807033640059,46.06059622735096,20.67437736291893
pubmed,GCN,GARNET,0.8095389036811631,0.0096286792751619,25.80574559578672,9.3903422677567
chameleon,GCN,GARNET,0.4070175438596491,0.0210963153718982,3.7877258043581,1.5626421644450832
squirrel,GCN,GARNET,0.3123919308357348,0.0115342370149442,3.4481238837819546,2.140795267359795
pubmed,RUNG,None,0.7629643717509826,0.051727394129858176,4265.070341566391,2279.451751823992
citeseer,GNNGuard,None,0.7204186413902054,0.0183860290402596,1.616010072439288,0.5872970292977138
pubmed,GNNGuard,None,0.8552977473479566,0.0025402145716617,4.394858117060115,0.8369095012580154
citeseer,ElasticGNN,None,0.7276856240126383,0.024032474709743,3.920128645732378,2.031886255502004
citeseer,GRAND,None,0.6864928909952607,0.0389480508953254,7.495077256159857,2.3917114875184784
citeseer,RobustGCN,None,0.7373617693522907,0.0134098538925274,0.8674933340245237,0.1158341845661235
pubmed,ElasticGNN,None,0.8786610878661087,0.0020528497941861,8.574482616083696,5.265508208312553
citeseer,GCORN,None,0.5544233807266983,0.0386259731681898,29.04008338477773,7.893126686997683
pubmed,GRAND,None,0.698136173449981,0.0754482991245741,93.48049564425212,40.45971777112554
pubmed,RobustGCN,None,0.8540425172224335,0.0019589192528624,5.543397156444068,1.665008371916377
citeseer,RUNG,None,0.474170616113744,0.0206835138218357,106.61662839086104,10.005018078164182
pubmed,GCORN,None,0.7373103419128524,0.0095299355288564,4605.112199235382,727.3442243346797
cora,NoisyGNN,None,0.821327967806841,0.0104933414965996,0.7678570991382003,0.2849809737552238
citeseer,NoisyGNN,None,0.7256319115323855,0.0068936965596676,1.2862454315181822,0.4940904547067541
pubmed,NoisyGNN,None,0.8348590507586323,0.0020342319201683,2.1276806412885585,0.5012641441545204
squirrel,NoisyGNN,None,0.2137047710534742,0.0086901450778734,1.780662560587128,1.347221278117665
chameleon,NoisyGNN,None,0.2361111111111111,0.01800129420599848,1.6962524615693837,0.6770859661911407

