,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.12000000000000001, 0.17808505191139912)","(0.48, 0.1740279123753264)","(0.006666666666666667, 0.025819888974716113)","(0.12666666666666668, 0.18309508328682536)","(0.09333333333333334, 0.1279880946844369)","(0.16533333333333333, 0.09840634900152288)","(143.59544834153107, 3.906264211397817)","(3.150681624468416, 1.1612212897792291)"
1,2,"(0.17333333333333334, 0.19444671200491875)","(0.6266666666666667, 0.19444671200491873)","(0.02666666666666667, 0.05936168397046637)","(0.22, 0.2833473385894321)","(0.14, 0.16388149028228557)","(0.23733333333333334, 0.10250203250017371)","(226.3256082995096, 5.105762874168915)","(3.524397792597301, 0.8743643987486567)"
2,3,"(0.20666666666666667, 0.276371041140262)","(0.6066666666666667, 0.19073791542572857)","(0.02, 0.041403933560541256)","(0.29333333333333333, 0.3305118685283408)","(0.18, 0.14735767952260145)","(0.2613333333333333, 0.11224123679867055)","(314.38456503903336, 8.616065208394629)","(3.7935051987335706, 1.058424563915612)"
3,4,"(0.35333333333333333, 0.2948768911806772)","(0.6933333333333334, 0.2016597794967223)","(0.03333333333333333, 0.048795003647426664)","(0.31333333333333335, 0.36813558578845584)","(0.36, 0.2197401062294143)","(0.3506666666666667, 0.14810549650582888)","(398.6101018646887, 10.94562160056495)","(3.2313348124735057, 1.0265412264911855)"
4,5,"(0.32, 0.2833473385894321)","(0.7533333333333333, 0.188477610139267)","(0.02666666666666667, 0.07037315505489969)","(0.38, 0.35294677866702306)","(0.32, 0.23664319132398462)","(0.36, 0.1562049935181331)","(486.02449845009636, 13.436067069141801)","(3.2761419379462797, 1.2820685782223262)"
