,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.06666666666666667, 0.13451854182690987)","(0.6, 0.09258200997725512)","(0.02, 0.041403933560541256)","(0.08, 0.12649110640673517)","(0.10666666666666667, 0.13870146083619753)","(0.17466666666666666, 0.06696125389962111)","(365.05521602944935, 10.11575147554787)","(3.3278899983890975, 0.9790171716862449)"
1,2,"(0.3333333333333333, 0.34156502553198664)","(0.62, 0.17402791237532642)","(0.013333333333333334, 0.035186577527449844)","(0.44666666666666666, 0.2445598573141631)","(0.22666666666666666, 0.20862360730226462)","(0.328, 0.1391402170474087)","(673.9629595964021, 31.370409771981457)","(3.2548860434054707, 1.0700782885093658)"
2,3,"(0.5066666666666667, 0.22189658681037713)","(0.8066666666666666, 0.10997835284835876)","(0.02, 0.056061191058138816)","(0.7266666666666667, 0.25485756993344527)","(0.44666666666666666, 0.24162150645369376)","(0.5013333333333333, 0.12152992968616337)","(940.9360267497366, 42.29431912587813)","(3.384796751329365, 1.1416700018315122)"
3,4,"(0.6466666666666667, 0.24746332099544618)","(0.7533333333333333, 0.22949219304078008)","(0.006666666666666667, 0.025819888974716113)","(0.76, 0.22296700588716195)","(0.5466666666666666, 0.2503331114069145)","(0.5426666666666666, 0.13155480480266263)","(1232.2616044198242, 63.63625463615864)","(3.3198147858027367, 1.2128635825566398)"
4,5,"(0.6666666666666666, 0.2581988897471611)","(0.92, 0.14735767952260145)","(0.05333333333333334, 0.0990430401872025)","(0.8266666666666667, 0.26583202716502513)","(0.5933333333333334, 0.2016597794967223)","(0.612, 0.11851461633787744)","(1513.6006804549522, 68.8487055274362)","(3.5785235936908673, 1.034155616626879)"
