budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.9133333333333333, 0.09904304018720249)","(0.02666666666666667, 0.04577377082170635)","(0.07333333333333333, 0.13870146083619753)","(0.34, 0.18822478962286404)","(0.27066666666666667, 0.06627504019146992)","(7.730926539442347, 0.8726433040263659)","(0.834300851461012, 0.3288593382489459)"
2,"(0.0, 0.0)","(0.9666666666666667, 0.06172133998483675)","(0.02666666666666667, 0.04577377082170635)","(0.19333333333333333, 0.2789435853528878)","(0.4866666666666667, 0.22318047362958035)","(0.33466666666666667, 0.086012180754212)","(9.262213067202053, 0.0904992734481663)","(0.7933697049932865, 0.26600783723472693)"
3,"(0.006666666666666667, 0.025819888974716113)","(0.9866666666666667, 0.03518657752744983)","(0.06666666666666667, 0.06172133998483677)","(0.4, 0.3927922024247863)","(0.64, 0.19566735620873066)","(0.42000000000000004, 0.10849621454884299)","(11.11379927705663, 0.14717846785031533)","(0.7930476763363307, 0.2658795947432501)"
4,"(0.02, 0.07745966692414834)","(0.9933333333333333, 0.025819888974716106)","(0.08666666666666667, 0.06399404734221845)","(0.6266666666666667, 0.29390636669006065)","(0.7333333333333334, 0.20236694629405505)","(0.492, 0.09252026804976302)","(12.965428400458768, 0.15033461313808438)","(0.7926018971290129, 0.264517960894567)"
5,"(0.026666666666666665, 0.07988086367179802)","(1.0, 0.0)","(0.12666666666666668, 0.08837151016885368)","(0.7133333333333334, 0.31365738056189973)","(0.7733333333333333, 0.17099150633319551)","(0.528, 0.0940516575383671)","(14.780121042474638, 0.3390709163081573)","(0.7853161321332057, 0.26396559976178596)"
