,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.013333333333333334, 0.051639777949432225)","(0.8200000000000001, 0.2305273457593635)","(0.04, 0.06324555320336758)","(0.060000000000000005, 0.11212238211627763)","(0.24, 0.13522468075656266)","(0.23466666666666666, 0.04627042663464841)","(0.3868101903858284, 0.039864286300079425)"
1,2,"(0.02, 0.056061191058138816)","(0.8866666666666667, 0.16846647257229663)","(0.05333333333333334, 0.051639777949432225)","(0.22, 0.23052734575936354)","(0.37333333333333335, 0.17915143899851346)","(0.3106666666666667, 0.07085867893880311)","(0.6892452596065899, 0.06861948414793817)"
2,3,"(0.12, 0.20424075429327446)","(0.9333333333333333, 0.08997354108424373)","(0.07333333333333333, 0.07037315505489969)","(0.5133333333333333, 0.2996823715361379)","(0.48, 0.16561573424216502)","(0.424, 0.09774602659078124)","(1.0161666823240618, 0.1105007746948986)"
3,4,"(0.14666666666666667, 0.21668498091095506)","(0.9666666666666667, 0.06172133998483675)","(0.12666666666666668, 0.1162919151265879)","(0.68, 0.2883450314169765)","(0.6133333333333333, 0.1505545305418162)","(0.5066666666666667, 0.09759000729485333)","(1.3337573071010411, 0.1255856823613574)"
4,5,"(0.18, 0.20071301473923978)","(0.96, 0.08280786712108251)","(0.14666666666666667, 0.11254628677422755)","(0.8466666666666667, 0.15522640914238175)","(0.64, 0.18822478962286404)","(0.5546666666666666, 0.07308181977039419)","(1.6101686598422627, 0.16229425244965476)"
