,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.006666666666666667, 0.025819888974716113)","(0.86, 0.12983506020002017)","(0.02, 0.056061191058138816)","(0.13333333333333333, 0.21602468994692867)","(0.35333333333333333, 0.14573295865416044)","(0.27466666666666667, 0.05316640543300503)","(176.70908869790534, 26.997853940598652)"
1,2,"(0.08, 0.10823255385643321)","(0.9266666666666666, 0.09611501047232549)","(0.06666666666666667, 0.08164965809277261)","(0.49333333333333335, 0.3195234546871921)","(0.46, 0.19566735620873066)","(0.4053333333333333, 0.07726269351714195)","(191.94218509842952, 24.157923273001284)"
2,3,"(0.14, 0.20283702113484398)","(0.9466666666666667, 0.07432233529572063)","(0.12666666666666668, 0.1279880946844369)","(0.5533333333333333, 0.327035748737628)","(0.6466666666666666, 0.14573295865416044)","(0.4826666666666667, 0.11609519903120559)","(195.20389481888463, 22.555947352918015)"
3,4,"(0.18, 0.2651145305065611)","(0.9666666666666667, 0.04879500364742665)","(0.16666666666666666, 0.1543033499620919)","(0.6266666666666667, 0.33480626949810555)","(0.7, 0.13093073414159545)","(0.528, 0.11509002687337547)","(197.34740925772738, 23.428235090840953)"
4,5,"(0.20666666666666667, 0.29632671801497046)","(0.96, 0.0736788397613007)","(0.2, 0.11338934190276817)","(0.6, 0.32513733362117264)","(0.74, 0.10555973258234955)","(0.5413333333333333, 0.10405126941400891)","(196.89943069104726, 23.22983294610341)"
