,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.013333333333333334, 0.035186577527449844)","(0.8533333333333334, 0.1505545305418162)","(0.013333333333333334, 0.035186577527449844)","(0.11333333333333333, 0.21336309316235907)","(0.26, 0.11832159566199232)","(0.25066666666666665, 0.04651676605063516)","(125.4365976796175, 17.155072592700723)"
1,2,"(0.07333333333333333, 0.14375905768565217)","(0.9266666666666666, 0.09611501047232549)","(0.02, 0.041403933560541256)","(0.38666666666666666, 0.31137177288954915)","(0.4066666666666667, 0.17915143899851346)","(0.3626666666666667, 0.09066946774384628)","(112.69385888995603, 9.149953607282171)"
2,3,"(0.12, 0.18593393604027364)","(0.96, 0.0736788397613007)","(0.05333333333333334, 0.07432233529572066)","(0.4866666666666667, 0.33565855667130945)","(0.46, 0.18439088914585774)","(0.41600000000000004, 0.11089248332120107)","(106.74389832109834, 10.28932346092672)"
3,4,"(0.14666666666666667, 0.21668498091095503)","(0.8933333333333333, 0.11629191512658792)","(0.09333333333333334, 0.10997835284835873)","(0.5066666666666667, 0.31274514194392183)","(0.54, 0.1992844341996778)","(0.436, 0.10985704997209524)","(107.38794170670832, 9.512742995787601)"
4,5,"(0.12666666666666668, 0.19808608037440498)","(0.96, 0.09102589898327995)","(0.08666666666666667, 0.0915475416434127)","(0.6266666666666667, 0.3731462116089285)","(0.58, 0.17402791237532642)","(0.47600000000000003, 0.10203640806804487)","(104.89821302859734, 8.73972236930172)"
