,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.96, 0.06324555320336757)","(0.07333333333333333, 0.15796322658258458)","(0.0, 0.0)","(0.49333333333333335, 0.2051712409068047)","(0.30533333333333335, 0.0468838483712167)","(462.32789600438747, 24.535428120523726)","(2.101550096909826, 0.6984676942999265)"
1,2,"(0.0, 0.0)","(0.9666666666666667, 0.06172133998483675)","(0.08666666666666667, 0.17265434778633237)","(0.08, 0.25967012040004034)","(0.74, 0.13522468075656266)","(0.37466666666666665, 0.06610237370566817)","(845.3003750316799, 28.249179539095973)","(2.1962597875545424, 0.8861525402222615)"
2,3,"(0.006666666666666667, 0.025819888974716113)","(0.9733333333333334, 0.04577377082170634)","(0.1, 0.16903085094570333)","(0.7866666666666667, 0.24162150645369376)","(0.8266666666666667, 0.10327955589886446)","(0.5386666666666667, 0.05475486497193868)","(1197.038213720095, 54.961450374910434)","(2.0971330690042427, 0.6069559874433995)"
3,4,"(0.006666666666666667, 0.025819888974716113)","(0.98, 0.04140393356054124)","(0.12666666666666668, 0.1751190071541826)","(0.9533333333333334, 0.18073922282301277)","(0.8666666666666667, 0.11126972805283737)","(0.5866666666666667, 0.04700557211144024)","(1535.259827697541, 58.71593502901825)","(2.6090758208495877, 1.0492045679179172)"
4,5,"(0.006666666666666667, 0.025819888974716113)","(0.98, 0.04140393356054124)","(0.16666666666666666, 0.20930724738891343)","(0.9933333333333333, 0.025819888974716106)","(0.8866666666666667, 0.0833809387832792)","(0.6066666666666667, 0.035989416433697505)","(1884.0457793284984, 69.49562553967718)","(2.2806209977095326, 0.6046889625006282)"
