,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.11333333333333334, 0.2996823715361379)","(0.7866666666666666, 0.34198301266639103)","(0.12666666666666668, 0.17915143899851346)","(0.16, 0.3290679478249352)","(0.41333333333333333, 0.341983012666391)","(0.32, 0.21460927952244482)","(364.8667244835757, 13.737926130170903)"
1,2,"(0.2733333333333333, 0.29632671801497046)","(0.7933333333333333, 0.35145954180219596)","(0.14666666666666667, 0.1807392228230128)","(0.44, 0.33338094898007764)","(0.6066666666666667, 0.3150207854064478)","(0.452, 0.21203773249117713)","(667.3751903435837, 19.596869335419168)"
2,3,"(0.25333333333333335, 0.31592645316516915)","(0.8266666666666667, 0.34114652626247327)","(0.18666666666666668, 0.26690465570704314)","(0.5733333333333334, 0.35550098787619755)","(0.7, 0.3295017884191656)","(0.508, 0.24527535546809429)","(933.6789421134318, 38.083894725961166)"
3,4,"(0.3466666666666667, 0.3602908877692077)","(0.8466666666666667, 0.348192612268117)","(0.18666666666666668, 0.2263583337058639)","(0.7066666666666667, 0.3390462814312833)","(0.6466666666666667, 0.3181793444554427)","(0.5466666666666666, 0.2522659216741239)","(1223.352919756497, 49.74127421083933)"
4,5,"(0.32, 0.32115861679683627)","(0.86, 0.35010202594590706)","(0.19333333333333333, 0.22189658681037713)","(0.72, 0.37834224868874633)","(0.7333333333333334, 0.328778402720188)","(0.5653333333333334, 0.25573051291954824)","(1503.945965536187, 68.75924888614006)"
