,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.006666666666666667, 0.025819888974716113)","(0.42666666666666664, 0.2604026186687142)","(0.013333333333333334, 0.035186577527449844)","(0.03333333333333333, 0.0723746864455746)","(0.09333333333333334, 0.11629191512658792)","(0.11466666666666667, 0.07029190836043919)","(0.04513460357363026, 0.014751191638526414)"
1,2,"(0.07333333333333333, 0.19073791542572854)","(0.52, 0.25128242505765724)","(0.0, 0.0)","(0.14666666666666667, 0.28250579429371675)","(0.25333333333333335, 0.16417180315870614)","(0.19866666666666666, 0.12523501716297053)","(0.08046213782702884, 0.013820894170940384)"
2,3,"(0.02666666666666667, 0.10327955589886445)","(0.5, 0.2803059552906941)","(0.03333333333333333, 0.08164965809277261)","(0.08, 0.1820517979665599)","(0.26666666666666666, 0.1632993161855452)","(0.18133333333333335, 0.09085834081270742)","(0.12227156984930238, 0.01536733095704902)"
3,4,"(0.02666666666666667, 0.10327955589886445)","(0.5066666666666667, 0.28149262021959875)","(0.02, 0.041403933560541256)","(0.04666666666666667, 0.0915475416434127)","(0.25333333333333335, 0.20998866182543785)","(0.17066666666666666, 0.09467739711150452)","(0.15335012745733062, 0.012797023342465267)"
4,5,"(0.02, 0.07745966692414834)","(0.5933333333333334, 0.29390636669006065)","(0.02, 0.041403933560541256)","(0.03333333333333333, 0.06172133998483677)","(0.3, 0.16903085094570333)","(0.19333333333333333, 0.09370673604897559)","(0.18963343851889172, 0.0161063685979962)"
