,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.0, 0.0)","(0.41333333333333333, 0.2325838302531758)","(0.03333333333333333, 0.06172133998483677)","(0.0, 0.0)","(0.12666666666666668, 0.14375905768565217)","(0.11466666666666667, 0.06822930525249465)","(382.763049514126, 1.9737531327308662)"
1,2,"(0.06, 0.12421180068162375)","(0.46, 0.2443650664769531)","(0.06666666666666667, 0.12909944487358058)","(0.09333333333333334, 0.17915143899851346)","(0.3333333333333333, 0.263673679998231)","(0.20266666666666666, 0.11054841645610479)","(381.49808103873704, 2.2892509949321034)"
2,3,"(0.060000000000000005, 0.09856107606091623)","(0.48666666666666664, 0.2325838302531758)","(0.06666666666666667, 0.12344267996967352)","(0.08666666666666667, 0.13557637102737477)","(0.26, 0.2667261838343906)","(0.192, 0.11509002687337547)","(382.31625331888597, 1.5626326994537105)"
3,4,"(0.04666666666666667, 0.07432233529572066)","(0.5133333333333333, 0.2503331114069145)","(0.07333333333333333, 0.09611501047232549)","(0.07333333333333333, 0.14375905768565217)","(0.30666666666666664, 0.24918916127158922)","(0.20266666666666666, 0.10898667458958108)","(383.58945281378305, 1.6379915535423815)"
4,5,"(0.02, 0.056061191058138816)","(0.46, 0.232379000772445)","(0.07333333333333333, 0.1279880946844369)","(0.08666666666666667, 0.188477610139267)","(0.37333333333333335, 0.2711527420547495)","(0.20266666666666666, 0.11584883418037654)","(383.1998746294218, 1.316714237870402)"
