,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.10666666666666667, 0.09611501047232549)","(0.6133333333333333, 0.2748159557300295)","(0.13333333333333333, 0.1447493728911492)","(0.36666666666666664, 0.2690370836538197)","(0.31333333333333335, 0.17674302033770736)","(0.3066666666666667, 0.10244626930854094)","(0.3006076285615563, 0.044245611487324005)"
1,2,"(0.22, 0.16987390281365428)","(0.7, 0.21712405933672377)","(0.14, 0.145405835999994)","(0.6466666666666667, 0.3622679881497884)","(0.5333333333333333, 0.19518001458970663)","(0.448, 0.10577604373662038)","(0.5939700300805271, 0.06803773247990354)"
2,3,"(0.3666666666666667, 0.24976179127511156)","(0.8200000000000001, 0.17808505191139912)","(0.22666666666666668, 0.1486446705914413)","(0.7000000000000001, 0.34226138716316973)","(0.6266666666666667, 0.15337473561121312)","(0.548, 0.08612283586333452)","(0.8554497154429554, 0.08094156397281277)"
3,4,"(0.4266666666666667, 0.23441924185608345)","(0.9, 0.11338934190276817)","(0.28, 0.22740775209804462)","(0.88, 0.19712215212183246)","(0.7066666666666667, 0.15796322658258458)","(0.6386666666666667, 0.07836422896291638)","(0.9900623573300739, 0.17109548146603112)"
4,5,"(0.5733333333333334, 0.29632671801497046)","(0.9066666666666666, 0.10997835284835873)","(0.29333333333333333, 0.1667618775665584)","(0.8466666666666667, 0.2774029216723951)","(0.78, 0.13732131246511906)","(0.68, 0.1136410388648648)","(1.4199280227844915, 0.16926510276205337)"
