,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.16666666666666666, 0.12909944487358055)","(0.5733333333333334, 0.29390636669006065)","(0.11333333333333334, 0.11254628677422755)","(0.4666666666666667, 0.22572634084745394)","(0.42666666666666664, 0.24630604269214887)","(0.34933333333333333, 0.10166237305531528)","(22.56560473907739, 1.113309214508467)"
1,2,"(0.26, 0.15491933384829668)","(0.7533333333333333, 0.21668498091095506)","(0.15333333333333335, 0.15522640914238175)","(0.9400000000000001, 0.09856107606091623)","(0.6, 0.17320508075688773)","(0.5413333333333333, 0.07501111028818776)","(28.90720031177625, 1.150673286575548)"
2,3,"(0.44666666666666666, 0.29244454093692623)","(0.8533333333333334, 0.14573295865416044)","(0.24666666666666667, 0.23563490726929556)","(0.96, 0.06324555320336757)","(0.74, 0.16388149028228557)","(0.6493333333333333, 0.11183320914051723)","(35.383783809343974, 1.1527170967181617)"
3,4,"(0.64, 0.29228166454393173)","(0.9066666666666667, 0.09611501047232547)","(0.2733333333333333, 0.23744673588186546)","(0.96, 0.08280786712108251)","(0.7666666666666667, 0.13451854182690987)","(0.7093333333333334, 0.0675559732652082)","(41.70899267535036, 1.4498513135877147)"
4,5,"(0.6266666666666667, 0.2604026186687143)","(0.9266666666666666, 0.13345232785352157)","(0.2866666666666667, 0.26149751888106393)","(0.9733333333333334, 0.10327955589886445)","(0.8666666666666667, 0.08997354108424373)","(0.736, 0.0950789145920377)","(48.71938042314723, 2.3852364436662583)"
