,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.0, 0.0)","(1.0, 0.0)","(0.0, 0.0)","(0.06666666666666667, 0.08164965809277261)","(0.7, 0.12535663410560177)","(0.35333333333333333, 0.03086066999241837)","(13.681857138841103, 0.2969656200656138)"
1,2,"(0.0, 0.0)","(0.9933333333333333, 0.025819888974716106)","(0.013333333333333334, 0.035186577527449844)","(0.5666666666666667, 0.24976179127511156)","(0.8, 0.10690449676496976)","(0.4746666666666667, 0.04926120853842978)","(27.721277065202592, 0.478586560107851)"
2,3,"(0.0, 0.0)","(1.0, 0.0)","(0.02, 0.041403933560541256)","(0.8466666666666667, 0.2356349072692956)","(0.9, 0.08451542547285165)","(0.5533333333333333, 0.04577377082170634)","(39.25928687384973, 3.3678191647362934)"
3,4,"(0.0, 0.0)","(1.0, 0.0)","(0.02, 0.041403933560541256)","(0.9666666666666667, 0.04879500364742665)","(0.9400000000000001, 0.05070925528371099)","(0.5853333333333334, 0.017674302033770718)","(47.435002559423445, 0.7032322055859399)"
4,5,"(0.0, 0.0)","(1.0, 0.0)","(0.02666666666666667, 0.04577377082170635)","(0.9533333333333334, 0.06399404734221843)","(0.92, 0.09411239481143202)","(0.58, 0.02618614682831906)","(59.28660640561332, 0.8740240680052785)"
