,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.22666666666666668, 0.19073791542572857)","(0.8133333333333334, 0.14074631010979938)","(0.12000000000000001, 0.10823255385643321)","(0.36, 0.28485585327118895)","(0.48666666666666664, 0.1641718031587061)","(0.4013333333333333, 0.1001332445627658)","(5.15436760308221, 0.7070009915624038)","(23.95171375166004, 7.731039928546655)"
1,2,"(0.4666666666666667, 0.28702082220799313)","(0.9400000000000001, 0.0736788397613007)","(0.16666666666666666, 0.19148542155126763)","(0.5599999999999999, 0.20283702113484398)","(0.62, 0.18973665961010278)","(0.5506666666666666, 0.11972985465304004)","(6.445955662460377, 0.1642909214446751)","(13.871788145850102, 4.489805711484583)"
2,3,"(0.44, 0.2261478656606273)","(0.8666666666666667, 0.11751393027860063)","(0.19333333333333333, 0.10997835284835873)","(0.6333333333333333, 0.17994708216848748)","(0.6533333333333333, 0.09154754164341268)","(0.5573333333333333, 0.07959420893028649)","(7.956996735713134, 0.22869415982219793)","(13.758754258385549, 4.953905336713979)"
3,4,"(0.42, 0.27825989906663057)","(0.9266666666666666, 0.09611501047232549)","(0.24666666666666667, 0.19952324127660867)","(0.7066666666666667, 0.20862360730226465)","(0.7666666666666667, 0.1397276262011544)","(0.6133333333333334, 0.09788233947425032)","(9.532307609387983, 0.2646659481795839)","(15.703362993337214, 5.821103290644475)"
4,5,"(0.56, 0.17237832147426693)","(0.9466666666666667, 0.06399404734221843)","(0.15333333333333335, 0.11872336794093273)","(0.7733333333333333, 0.16676187756655841)","(0.7733333333333333, 0.19073791542572857)","(0.6413333333333333, 0.07110019757523951)","(11.241572010486076, 0.29775352011609385)","(21.05378220838805, 6.517146134071965)"
