,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.08, 0.09411239481143202)","(0.84, 0.18439088914585777)","(0.02, 0.041403933560541256)","(0.18, 0.23052734575936354)","(0.30666666666666664, 0.1709915063331955)","(0.2853333333333333, 0.056298524043919745)","(105.66650197527682, 10.985722610301622)"
1,2,"(0.11333333333333333, 0.16417180315870614)","(0.8866666666666667, 0.14074631010979938)","(0.04, 0.06324555320336758)","(0.26666666666666666, 0.21269248984883138)","(0.35333333333333333, 0.22949219304078008)","(0.332, 0.09064845755523288)","(106.81672725540896, 5.720900845214608)"
2,3,"(0.19333333333333333, 0.2218965868103771)","(0.9066666666666666, 0.12227992865708155)","(0.013333333333333334, 0.035186577527449844)","(0.38666666666666666, 0.3226379365406959)","(0.47333333333333333, 0.1830950832868254)","(0.39466666666666667, 0.09364573567185967)","(108.95101444426304, 6.214059525126027)"
3,4,"(0.2, 0.22360679774997896)","(0.9400000000000001, 0.09102589898327995)","(0.06666666666666667, 0.08997354108424374)","(0.37333333333333335, 0.29632671801497046)","(0.58, 0.18973665961010278)","(0.432, 0.0758946638440411)","(97.6142958088778, 12.637737614580608)"
4,5,"(0.21333333333333335, 0.2559761893688738)","(0.9333333333333333, 0.12909944487358055)","(0.05333333333333334, 0.0915475416434127)","(0.4533333333333333, 0.35227154028566954)","(0.47333333333333333, 0.12227992865708154)","(0.42533333333333334, 0.10459900755242559)","(89.57748064249753, 7.880770290036617)"
