,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.060000000000000005, 0.07367883976130073)","(0.8933333333333333, 0.10997835284835873)","(0.02666666666666667, 0.05936168397046637)","(0.15333333333333332, 0.21995670569671746)","(0.41333333333333333, 0.1995232412766087)","(0.30933333333333335, 0.07777868480196751)","(225.63490141425282, 44.30695297575614)"
1,2,"(0.20666666666666667, 0.08837151016885367)","(0.88, 0.1264911064067352)","(0.09333333333333334, 0.13870146083619753)","(0.46, 0.2772312083030027)","(0.4866666666666667, 0.1641718031587061)","(0.42533333333333334, 0.07150091574505149)","(222.38363021124775, 41.65582130584549)"
2,3,"(0.30666666666666664, 0.1830950832868254)","(0.96, 0.06324555320336757)","(0.15333333333333332, 0.17674302033770736)","(0.4266666666666667, 0.2250925735484551)","(0.5666666666666667, 0.198805959477601)","(0.4826666666666667, 0.10579404970214985)","(223.4278768944554, 41.4687098423684)"
3,4,"(0.25333333333333335, 0.13557637102737474)","(0.92, 0.15675276256394519)","(0.1, 0.10690449676496976)","(0.5, 0.16475089420958278)","(0.6066666666666667, 0.13870146083619753)","(0.47600000000000003, 0.04420730385678044)","(225.07450017857676, 45.08998751296014)"
4,5,"(0.3466666666666667, 0.26149751888106393)","(0.9333333333333333, 0.07237468644557457)","(0.15333333333333335, 0.19223002094465097)","(0.56, 0.22296700588716195)","(0.66, 0.10555973258234953)","(0.5306666666666667, 0.08514413549695488)","(221.86192466675615, 45.99392907808998)"
