,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.36, 0.3541589635016618)","(0.49333333333333335, 0.2789435853528878)","(0.013333333333333334, 0.035186577527449844)","(0.5066666666666667, 0.41138557976440454)","(0.24, 0.1804755622554715)","(0.32266666666666666, 0.15563082079380158)","(0.04193779348085324, 0.0027975470313358402)"
1,2,"(0.37333333333333335, 0.24338877385388022)","(0.58, 0.26779523094014523)","(0.02666666666666667, 0.04577377082170635)","(0.58, 0.2704493615131253)","(0.34, 0.20283702113484398)","(0.38, 0.08315218406203)","(0.05174982917184631, 0.0012921352280364337)"
2,3,"(0.38, 0.21111946516469904)","(0.6933333333333334, 0.13870146083619755)","(0.02, 0.041403933560541256)","(0.6666666666666666, 0.19518001458970666)","(0.4, 0.16035674514745463)","(0.432, 0.06624629369686601)","(0.06303667351603508, 0.0012698662491788975)"
3,4,"(0.3466666666666667, 0.26149751888106393)","(0.7066666666666667, 0.15337473561121312)","(0.060000000000000005, 0.0632455532033676)","(0.6333333333333333, 0.22572634084745394)","(0.4666666666666667, 0.15430334996209188)","(0.44266666666666665, 0.09160993915717308)","(0.07455419106408953, 0.0029887746932901363)"
4,5,"(0.41333333333333333, 0.28250579429371675)","(0.7, 0.17320508075688773)","(0.09333333333333334, 0.10997835284835873)","(0.5466666666666666, 0.27740292167239505)","(0.5666666666666667, 0.19518001458970666)","(0.464, 0.09803789354850792)","(0.08762030129631361, 0.003626731671486009)"
