,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.84, 0.15776212754932312)","(0.20500000000000002, 0.05986094998689323)","(0.3125, 0.04894725051862804)","(13.489991187257692, 0.3583120165814009)","(1.9110741942655296, 0.6123913275934078)"
1,2,"(0.05, 0.097182531580755)","(0.91, 0.0875595035770913)","(0.33, 0.11352924243950935)","(0.405, 0.056273143387113776)","(13.699486644053831, 0.28018141232948773)","(1.7785921354778111, 0.5487113798359653)"
2,3,"(0.13, 0.14944341180973264)","(0.97, 0.06749485577105527)","(0.48, 0.1735255344642716)","(0.515, 0.1021980647783726)","(13.982929697958753, 0.3430842357510265)","(1.9405860115773976, 0.5106724475103942)"
3,4,"(0.12, 0.17511900715418263)","(0.97, 0.06749485577105527)","(0.54, 0.17126976771553507)","(0.5425, 0.10411665466090322)","(14.23794616702944, 0.3808861198558562)","(1.7178375149611385, 0.5347145668367319)"
4,5,"(0.28, 0.3293090409394258)","(0.98, 0.04216370213557838)","(0.61, 0.1646545204697129)","(0.62, 0.14662878298615178)","(14.756222499441355, 0.2314575032152145)","(1.8734574598725886, 0.5056441330120152)"
