,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.02, 0.04216370213557839)","(0.87, 0.1636391694484477)","(0.31, 0.12202003478482085)","(0.3775, 0.06917168656482378)","(222.70590386539698, 25.99672654285136)","(1.5273301082663238, 0.4354737516372717)"
1,2,"(0.1, 0.15634719199411434)","(0.97, 0.06749485577105527)","(0.53, 0.13165611772087668)","(0.5325, 0.03917553091181052)","(193.0196026106365, 42.55050780901825)","(1.344770967354998, 0.32705844202149403)"
2,3,"(0.22, 0.24855135843076331)","(0.94, 0.0966091783079296)","(0.625, 0.08249579113843054)","(0.6025, 0.06503204338375555)","(194.2485759243835, 36.87953574718543)","(1.348923537414521, 0.39411968575029477)"
3,4,"(0.39, 0.2726414006223804)","(0.98, 0.04216370213557838)","(0.69, 0.11498792207106893)","(0.6875, 0.07927623996016853)","(219.06901685926132, 24.35073023946825)","(1.48487785840407, 0.41324847845872936)"
4,5,"(0.42, 0.26583202716502513)","(0.98, 0.04216370213557838)","(0.79, 0.09944289260117531)","(0.745, 0.07434902674398487)","(172.89167355229148, 22.48016860335331)","(1.3341721237171442, 0.40716315912468787)"
