budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.03333333333333333, 0.06172133998483677)","(0.7733333333333333, 0.1334523278535216)","(0.02, 0.056061191058138816)","(0.22, 0.1820517979665599)","(0.12000000000000001, 0.09411239481143203)","(0.23333333333333334, 0.04820590756130958)","(15.523892257727372, 0.9948101936731375)","(0.8354481785985021, 0.4856547051026745)"
2,"(0.06666666666666667, 0.11126972805283737)","(0.8266666666666667, 0.1279880946844369)","(0.04666666666666667, 0.06399404734221845)","(0.18666666666666668, 0.19223002094465097)","(0.26, 0.145405835999994)","(0.2773333333333333, 0.060411288759004395)","(15.805738798703533, 0.2601995807235131)","(0.7286547385971062, 0.30560417844719245)"
3,"(0.09333333333333334, 0.1279880946844369)","(0.8466666666666667, 0.14573295865416044)","(0.05333333333333334, 0.06399404734221845)","(0.22666666666666668, 0.1869555587629877)","(0.3, 0.11338934190276817)","(0.304, 0.07716401826165946)","(16.434625464173344, 0.511691393956936)","(0.7348963059446153, 0.309572924905925)"
4,"(0.21333333333333335, 0.188477610139267)","(0.92, 0.07745966692414832)","(0.05333333333333334, 0.051639777949432225)","(0.3666666666666667, 0.21930626551751342)","(0.37333333333333335, 0.1751190071541826)","(0.38533333333333336, 0.07726269351714196)","(16.619235033409982, 0.6963579011751032)","(0.7258256319949093, 0.30313094637206217)"
5,"(0.18666666666666668, 0.18073922282301277)","(0.92, 0.09411239481143202)","(0.060000000000000005, 0.0632455532033676)","(0.48, 0.18973665961010275)","(0.44, 0.12421180068162374)","(0.41733333333333333, 0.0704543080571339)","(17.093501683087865, 0.8625707083373334)","(0.7272011625347659, 0.3046990924587065)"
