,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.013333333333333334, 0.035186577527449844)","(0.8866666666666667, 0.12459458063579461)","(0.23666666666666666, 0.10431180365113232)","(0.3433333333333333, 0.06371439248336132)","(0.2853930041970064, 0.02308384532629416)","(0.9656117661545675, 0.33805767741193427)"
1,2,"(0.013333333333333334, 0.051639777949432225)","(0.92, 0.056061191058138796)","(0.4166666666666667, 0.1447493728911492)","(0.44166666666666665, 0.06857390868530795)","(0.5151638500702878, 0.01172026911892733)","(1.0003488450621565, 0.2640218811178675)"
2,3,"(0.04666666666666667, 0.07432233529572066)","(0.9466666666666667, 0.06399404734221843)","(0.55, 0.10350983390135314)","(0.5233333333333333, 0.05384059364280379)","(0.7341919413612534, 0.01846198841209363)","(0.900123388801391, 0.23465947203421608)"
3,4,"(0.04, 0.08280786712108251)","(0.9733333333333334, 0.05936168397046636)","(0.6033333333333333, 0.13425278218275224)","(0.555, 0.06826942423745996)","(0.96786460285075, 0.016004258918113738)","(0.9103694008042414, 0.26228474263618473)"
4,5,"(0.07333333333333333, 0.10327955589886445)","(0.98, 0.04140393356054124)","(0.6966666666666667, 0.12021805585011325)","(0.6116666666666667, 0.07249794742578843)","(1.191220296655471, 0.030143287853359655)","(0.7833733634247134, 0.2042884090728445)"
