,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.84, 0.18439088914585774)","(0.22, 0.12071217242444347)","(0.32, 0.07571091636707918)","(107.91544464879358, 8.944978520670295)","(1.1010486825214079, 0.3660513473735034)"
1,2,"(0.0, 0.0)","(0.9266666666666666, 0.1162919151265879)","(0.35333333333333333, 0.10431180365113231)","(0.4083333333333333, 0.051466586479088784)","(101.76988597869253, 8.874536953996737)","(1.0561779603982966, 0.3142612801639939)"
2,3,"(0.0, 0.0)","(0.9066666666666667, 0.07988086367179803)","(0.41, 0.12564121252882862)","(0.43166666666666664, 0.062297290317897304)","(94.15631905137562, 7.445901811480007)","(1.0506465282446393, 0.31979819243466207)"
3,4,"(0.006666666666666667, 0.025819888974716113)","(0.9333333333333333, 0.08997354108424373)","(0.5, 0.1546886273407694)","(0.485, 0.07837638128197259)","(92.05898414913875, 6.418957452562935)","(1.0699841911128412, 0.3292861891168609)"
4,5,"(0.0, 0.0)","(0.9333333333333333, 0.10465362369445673)","(0.49333333333333335, 0.1162919151265879)","(0.48, 0.06892024376045111)","(90.30714050425837, 6.304661715142929)","(1.0521402928978205, 0.2831351068284068)"
