,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.02, 0.0632455532033676)","(0.94, 0.1577621275493231)","(0.23, 0.048304589153964794)","(0.355, 0.058689389538863365)","(142.75777474432252, 9.903912865042662)","(1.1945490429876373, 0.5871036165173871)"
1,2,"(0.0, 0.0)","(0.96, 0.0966091783079296)","(0.365, 0.07090682462060884)","(0.4225, 0.0432210082662998)","(144.7474238803843, 8.077306364987825)","(1.1835923547158018, 0.8719192805820216)"
2,3,"(0.14, 0.12649110640673517)","(0.99, 0.031622776601683784)","(0.49, 0.1264911064067352)","(0.5275, 0.06503204338375557)","(96.37057985179126, 12.80184576441639)","(0.7466308024246245, 0.35610914139973954)"
3,4,"(0.15, 0.12692955176439846)","(0.99, 0.031622776601683784)","(0.55, 0.13333333333333333)","(0.56, 0.07655789385237236)","(90.77598326678853, 6.671897193962869)","(0.8598210970172658, 0.6865616102665147)"
4,5,"(0.12, 0.10327955589886445)","(0.99, 0.031622776601683784)","(0.665, 0.1375378735718517)","(0.61, 0.08432740427115677)","(87.4872429859126, 7.230184251261352)","(0.7123069813707843, 0.3317584909069752)"
