,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.85, 0.190029237516523)","(0.195, 0.08316649966583099)","(0.31, 0.06790516262487788)","(0.2971321952994913, 0.030191717725228325)","(0.9630469395080581, 0.44570971870769455)"
1,2,"(0.060000000000000005, 0.08432740427115679)","(0.92, 0.10327955589886445)","(0.405, 0.10394977419675118)","(0.4475, 0.08370749335898456)","(0.5721813854994252, 0.054385190539552784)","(0.9584753053961321, 0.4926239606110876)"
2,3,"(0.07, 0.0674948557710553)","(0.95, 0.05270462766947298)","(0.455, 0.09846036991827953)","(0.4825, 0.03736085295243317)","(0.8370911522302776, 0.0828651429461868)","(1.0247873519081623, 0.6860775404828329)"
3,4,"(0.12000000000000001, 0.10327955589886445)","(1.0, 0.0)","(0.51, 0.107496769977314)","(0.535, 0.05426273532033236)","(1.1105723434593529, 0.11481035672498457)","(0.976213871082291, 0.4304806576130579)"
4,5,"(0.19, 0.14491376746189438)","(0.99, 0.031622776601683784)","(0.64, 0.10488088481701516)","(0.615, 0.07187952884282607)","(1.3792388593545184, 0.13949498973627833)","(1.0738574678776787, 0.5536702128835915)"
