budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.12000000000000001, 0.20424075429327448)","(0.8733333333333334, 0.09611501047232547)","(0.76, 0.2947153590452029)","(0.64, 0.13522468075656266)","(0.74, 0.12983506020002017)","(0.6266666666666667, 0.0788005317845242)","(14.985011060396209, 0.5539416137732351)","(1.3421130971400999, 0.8195964616159557)"
2,"(0.16, 0.15023790657297034)","(0.8533333333333334, 0.11872336794093274)","(0.8200000000000001, 0.20071301473923978)","(0.66, 0.15023790657297037)","(0.78, 0.13732131246511906)","(0.6546666666666667, 0.06988425805436818)","(15.646532450589197, 0.622616782654372)","(1.211728699466524, 0.5215720588472844)"
3,"(0.26666666666666666, 0.19148542155126763)","(0.88, 0.12071217242444347)","(0.7933333333333333, 0.23441924185608348)","(0.7933333333333333, 0.1279880946844369)","(0.74, 0.15023790657297037)","(0.6946666666666667, 0.07069720813508293)","(16.19605309308584, 0.6409559131028046)","(1.1559886497988676, 0.4080015395806915)"
4,"(0.31333333333333335, 0.17265434778633235)","(0.8533333333333334, 0.10600988273786194)","(0.74, 0.28982753492378877)","(0.78, 0.10823255385643323)","(0.7333333333333334, 0.21269248984883138)","(0.684, 0.0832208765017185)","(16.870495559903794, 0.8187893123528401)","(1.2726599700011623, 0.5310894578573504)"
5,"(0.34, 0.20976176963403032)","(0.8666666666666667, 0.10465362369445673)","(0.7733333333333333, 0.27115274205474954)","(0.76, 0.20976176963403032)","(0.74, 0.15946338585572373)","(0.6960000000000001, 0.09386920992225603)","(17.089456871555498, 0.8900105556139724)","(1.2364916156589365, 0.5495779823757365)"
