budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.8200000000000001, 0.10823255385643323)","(0.7466666666666667, 0.15522640914238175)","(0.46, 0.12421180068162375)","(0.64, 0.20632844828435212)","(0.5333333333333333, 0.0769662882293899)","(108.0766035562226, 6.470169019364454)","(1.5037931664846838, 0.6870545576867844)"
1,"(0.0, 0.0)","(0.8333333333333334, 0.12344267996967354)","(0.7733333333333333, 0.1791514389985135)","(0.48, 0.08618916073713345)","(0.6533333333333333, 0.1505545305418162)","(0.548, 0.0758946638440411)","(111.76796861801607, 6.097338323762604)","(1.605492157287275, 0.6796001312462349)"
2,"(0.0, 0.0)","(0.82, 0.1207121724244435)","(0.7733333333333333, 0.1791514389985135)","(0.48, 0.13201731488169052)","(0.62, 0.161245154965971)","(0.5386666666666666, 0.07726269351714195)","(105.51493406112617, 6.084975807680754)","(1.418484648425753, 0.5577852769415261)"
2,"(0.0, 0.0)","(0.7933333333333333, 0.14375905768565217)","(0.76, 0.18822478962286407)","(0.45999999999999996, 0.15491933384829668)","(0.6466666666666666, 0.16846647257229666)","(0.532, 0.08204528366352677)","(111.551484535976, 5.467914063612726)","(1.4875761647243053, 0.5719926389922514)"
3,"(0.013333333333333334, 0.035186577527449844)","(0.8, 0.13093073414159545)","(0.78, 0.161245154965971)","(0.44666666666666666, 0.19591057240729093)","(0.6333333333333333, 0.1588650220724979)","(0.5346666666666666, 0.08895156520478407)","(105.3780409219054, 5.578145904527623)","(1.3973317192246517, 0.530359113760347)"
3,"(0.0, 0.0)","(0.8200000000000001, 0.12071217242444349)","(0.7666666666666666, 0.16329931618554522)","(0.48666666666666664, 0.18073922282301277)","(0.64, 0.16388149028228557)","(0.5426666666666666, 0.08276184996436346)","(111.51987914737934, 5.139459828631857)","(1.4945337346444527, 0.5776054024208368)"
4,"(0.006666666666666667, 0.025819888974716113)","(0.8333333333333334, 0.10465362369445674)","(0.7533333333333333, 0.18464895909600493)","(0.49333333333333335, 0.14375905768565214)","(0.6666666666666666, 0.1397276262011544)","(0.5506666666666666, 0.07205817755384153)","(105.43076076388049, 5.702271593851377)","(1.415168274892494, 0.5557465815638715)"
4,"(0.013333333333333334, 0.035186577527449844)","(0.8266666666666667, 0.12227992865708157)","(0.7333333333333333, 0.16329931618554522)","(0.5333333333333333, 0.12344267996967351)","(0.6533333333333333, 0.16846647257229666)","(0.552, 0.07775419143502352)","(111.05726188067347, 5.500940786204512)","(1.5513084378403923, 0.6023954742472142)"
5,"(0.013333333333333334, 0.035186577527449844)","(0.8, 0.13093073414159545)","(0.7533333333333333, 0.15976172734359606)","(0.4866666666666667, 0.15522640914238173)","(0.6666666666666666, 0.1447493728911492)","(0.544, 0.07139427748176219)","(105.23696069323147, 5.640866553415346)","(1.4103476328620066, 0.556741631935948)"
5,"(0.006666666666666667, 0.025819888974716113)","(0.7866666666666666, 0.11872336794093276)","(0.7333333333333333, 0.1877181270897812)","(0.5133333333333333, 0.1505545305418162)","(0.66, 0.15491933384829668)","(0.54, 0.08451542547285167)","(109.50872187013738, 6.738929481059856)","(1.5381571683411797, 0.5967226657617477)"
