,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.8866666666666667, 0.15976172734359603)","(0.02, 0.041403933560541256)","(0.08666666666666667, 0.11254628677422755)","(0.26, 0.17237832147426693)","(0.25066666666666665, 0.053913510984415276)","(102.31167820939687, 4.774946856562825)","(0.7465124155998637, 0.2609239797248606)"
1,2,"(0.0, 0.0)","(0.9333333333333333, 0.13451854182690984)","(0.060000000000000005, 0.08280786712108251)","(0.2733333333333333, 0.19073791542572857)","(0.37333333333333335, 0.15337473561121312)","(0.328, 0.0644980619863884)","(97.47621086006765, 4.7556372006829895)","(0.7292152558666809, 0.22203927761246536)"
2,3,"(0.0, 0.0)","(0.9466666666666667, 0.0915475416434127)","(0.05333333333333334, 0.06399404734221845)","(0.33999999999999997, 0.21974010622941428)","(0.44666666666666666, 0.18073922282301277)","(0.35733333333333334, 0.06363586889108853)","(95.13105102707001, 3.7674617862323116)","(0.6886763808661878, 0.16945908385856281)"
3,4,"(0.0, 0.0)","(0.9266666666666666, 0.09611501047232549)","(0.09333333333333334, 0.10327955589886445)","(0.42, 0.21778101714468004)","(0.5333333333333333, 0.16761634196950517)","(0.39466666666666667, 0.06345602151621756)","(92.41032130287252, 5.858711329791181)","(0.7195396112656454, 0.20623641282725058)"
4,5,"(0.0, 0.0)","(0.9400000000000001, 0.09102589898327995)","(0.06666666666666667, 0.06172133998483677)","(0.49333333333333335, 0.29872745979922105)","(0.6466666666666666, 0.13557637102737474)","(0.42933333333333334, 0.08066391179868894)","(90.46524873253172, 4.326813321214036)","(0.6991792872659668, 0.20295053696448495)"
