budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.006666666666666667, 0.025819888974716113)","(0.5733333333333334, 0.20862360730226462)","(0.07333333333333333, 0.12227992865708154)","(0.5066666666666667, 0.3058166272847334)","(0.2733333333333333, 0.1279880946844369)","(0.2866666666666667, 0.06399404734221845)","(0.07646495426694552, 0.02346545731483613)","(0.8777747132504979, 1.6365955116834936)"
2,"(0.013333333333333334, 0.035186577527449844)","(0.8066666666666666, 0.13870146083619755)","(0.15333333333333335, 0.12459458063579461)","(0.76, 0.23543273227945904)","(0.5133333333333333, 0.2325838302531758)","(0.44933333333333336, 0.08647598070039587)","(0.12971037910319866, 0.018406540152921758)","(0.46006710454821587, 0.12114354248652735)"
3,"(0.060000000000000005, 0.11212238211627763)","(0.8533333333333334, 0.0990430401872025)","(0.20666666666666667, 0.1162919151265879)","(0.86, 0.20976176963403032)","(0.6466666666666666, 0.14074631010979938)","(0.5253333333333333, 0.0702919083604392)","(0.20070985603767136, 0.03511089757163025)","(0.4583903098013252, 0.12285569272994569)"
4,"(0.07333333333333333, 0.10997835284835873)","(0.8466666666666667, 0.1302013093343571)","(0.29333333333333333, 0.1486446705914413)","(0.8466666666666667, 0.20998866182543785)","(0.7666666666666667, 0.198805959477601)","(0.5653333333333334, 0.06906173911453295)","(0.27568598178525766, 0.034327015080252744)","(0.4529726854680727, 0.11753489752184215)"
5,"(0.12, 0.15212776585113297)","(0.88, 0.11464230084422217)","(0.32, 0.20770858707058104)","(0.9333333333333333, 0.10465362369445672)","(0.7466666666666667, 0.17265434778633237)","(0.6, 0.06502746672423453)","(0.38467717785388233, 0.053239289619337105)","(0.4516928045079112, 0.11819165468671981)"
