Unnamed: 0,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0.0,1,"(0.0, 0.0)","(0.9666666666666667, 0.07237468644557457)","(0.060000000000000005, 0.08280786712108251)","(0.16, 0.15491933384829668)","(0.31333333333333335, 0.1505545305418162)","(0.3, 0.056061191058138816)","(0.36242267278333506, 0.03593680550051354)",
1.0,2,"(0.006666666666666667, 0.025819888974716113)","(1.0, 0.0)","(0.09333333333333334, 0.08837151016885368)","(0.76, 0.202837021134844)","(0.64, 0.15491933384829668)","(0.5, 0.047809144373375745)","(0.6753468940034508, 0.06498389025896102)",
2.0,3,"(0.02, 0.041403933560541256)","(1.0, 0.0)","(0.14, 0.07367883976130073)","(0.9400000000000001, 0.09102589898327995)","(0.7133333333333334, 0.13557637102737477)","(0.5626666666666666, 0.041311822359545766)","(0.9861321555140118, 0.10351193606843342)",
3.0,4,"(0.04666666666666667, 0.07432233529572066)","(1.0, 0.0)","(0.17333333333333334, 0.1279880946844369)","(0.9866666666666667, 0.03518657752744983)","(0.8200000000000001, 0.165615734242165)","(0.6053333333333334, 0.043730778090275875)","(1.3053743183923265, 0.12522588293368714)",
4.0,5,"(0.09333333333333334, 0.1279880946844369)","(1.0, 0.0)","(0.23333333333333334, 0.1543033499620919)","(1.0, 0.0)","(0.9266666666666666, 0.09611501047232549)","(0.6506666666666667, 0.047729395953596966)","(1.5787776355631649, 0.17938654127084555)",
