,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.0, 0.0)","(0.9466666666666667, 0.0990430401872025)","(0.060000000000000005, 0.0632455532033676)","(0.30666666666666664, 0.19444671200491873)","(0.36, 0.15491933384829668)","(0.33466666666666667, 0.035830287799702695)","(19.727221201981106, 1.4638480901933688)"
1,2,"(0.0, 0.0)","(0.9933333333333333, 0.025819888974716106)","(0.08666666666666667, 0.06399404734221845)","(0.92, 0.12071217242444349)","(0.5933333333333334, 0.14375905768565214)","(0.5186666666666667, 0.045648762566027186)","(29.7539584417517, 1.0099647107756735)"
2,3,"(0.04, 0.08280786712108251)","(1.0, 0.0)","(0.14, 0.11832159566199232)","(1.0, 0.0)","(0.7533333333333333, 0.14573295865416044)","(0.5866666666666667, 0.026903708365381956)","(41.011850963750234, 2.1711240337154285)"
3,4,"(0.06666666666666667, 0.09759000729485333)","(1.0, 0.0)","(0.14666666666666667, 0.13557637102737477)","(1.0, 0.0)","(0.8933333333333333, 0.1162919151265879)","(0.6213333333333333, 0.03661901665736508)","(50.90347430848827, 2.515684610716146)"
4,5,"(0.08, 0.10141851056742199)","(1.0, 0.0)","(0.14666666666666667, 0.09904304018720252)","(1.0, 0.0)","(0.9266666666666666, 0.08837151016885367)","(0.6306666666666667, 0.031045281828476375)","(62.79822705701614, 2.060414139682119)"
