budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.02666666666666667, 0.05936168397046637)","(0.64, 0.16388149028228557)","(0.18, 0.15560940111151936)","(0.25666666666666665, 0.11159023681479018)","(0.04261056569715341, 0.006429402014542149)","(1.6615000874735415, 1.668332101197923)"
2,"(0.4066666666666667, 0.32616093018777154)","(0.6733333333333333, 0.15337473561121312)","(0.33666666666666667, 0.22076706103514457)","(0.43833333333333335, 0.12495237187862916)","(0.07077155214113494, 0.034531812831163404)","(1.5830985794464747, 1.5965388500758528)"
3,"(0.38666666666666666, 0.3136573805618997)","(0.6866666666666666, 0.17674302033770736)","(0.35, 0.23222526010012656)","(0.44333333333333336, 0.12300793625190361)","(0.11204944206401705, 0.03562152005624377)","(1.599932332430035, 1.583126003212501)"
4,"(0.37333333333333335, 0.33480626949810555)","(0.7133333333333334, 0.15522640914238175)","(0.42333333333333334, 0.2242978461990302)","(0.48333333333333334, 0.12488089563755576)","(0.17729084162662426, 0.039738932903899085)","(1.5976296682065974, 1.5832898635384403)"
5,"(0.49333333333333335, 0.36735865438612025)","(0.7333333333333334, 0.14960264830861913)","(0.43333333333333335, 0.21436506467328337)","(0.5233333333333333, 0.12081075322684688)","(0.2347641778488954, 0.061269940424995936)","(1.5798119589841615, 1.5990763801962884)"
