,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.2, 0.15583874449479593)","(0.7533333333333333, 0.19591057240729093)","(0.18666666666666668, 0.1302013093343571)","(0.38, 0.207708587070581)","(0.41333333333333333, 0.14573295865416044)","(0.38666666666666666, 0.07158079018709924)","(6.104063310877731, 0.7695858581586461)","(11.646939860191196, 2.877043305442645)"
1,2,"(0.4666666666666667, 0.25260547066428274)","(0.8200000000000001, 0.16561573424216502)","(0.17333333333333334, 0.15796322658258458)","(0.5866666666666667, 0.26149751888106393)","(0.6, 0.19999999999999998)","(0.5293333333333333, 0.15526321736543613)","(8.198418414623786, 0.2271934122335656)","(12.772517014605304, 3.6747447812672394)"
2,3,"(0.5666666666666667, 0.23502786055720123)","(0.86, 0.13522468075656266)","(0.22666666666666668, 0.1667618775665584)","(0.7666666666666667, 0.21930626551751342)","(0.5733333333333334, 0.19444671200491873)","(0.5986666666666667, 0.11819274008806044)","(10.415498830595364, 0.4123635961287212)","(10.225283220037818, 2.6666712155425216)"
3,4,"(0.5466666666666666, 0.22949219304078008)","(0.8933333333333333, 0.1162919151265879)","(0.2866666666666667, 0.1505545305418162)","(0.7733333333333333, 0.1791514389985135)","(0.6666666666666666, 0.14960264830861913)","(0.6333333333333333, 0.10867163295692123)","(13.000680741667747, 0.7153420696985877)","(11.6855341451553, 3.490744270723257)"
4,5,"(0.5533333333333333, 0.2503331114069145)","(0.8933333333333333, 0.1279880946844369)","(0.34, 0.17237832147426693)","(0.7933333333333333, 0.19444671200491875)","(0.6466666666666666, 0.13557637102737477)","(0.6453333333333333, 0.11722180846989344)","(15.041642014464985, 0.7783212082176438)","(11.317932185716927, 3.1441437377973176)"
