,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.32, 0.27825989906663057)","(0.47333333333333333, 0.17915143899851346)","(0.16666666666666666, 0.0816496580927726)","(0.6666666666666666, 0.408248290463863)","(0.19333333333333333, 0.10327955589886445)","(0.364, 0.12631027556887728)","(0.042032561854769786, 0.010092594750266906)"
1,2,"(0.38, 0.30519314727375046)","(0.5133333333333333, 0.188477610139267)","(0.16, 0.09102589898327995)","(0.6466666666666666, 0.1846489590960049)","(0.31333333333333335, 0.14573295865416044)","(0.4026666666666667, 0.08811248222476499)","(0.07472297456115484, 0.03868314465991196)"
2,3,"(0.25333333333333335, 0.17674302033770736)","(0.6799999999999999, 0.11464230084422218)","(0.21333333333333335, 0.1302013093343571)","(0.36666666666666664, 0.25260547066428274)","(0.3933333333333333, 0.12227992865708154)","(0.38133333333333336, 0.07909006318898788)","(0.08606442753225566, 0.040458751287719905)"
3,4,"(0.25333333333333335, 0.13557637102737474)","(0.7466666666666667, 0.16846647257229666)","(0.23333333333333334, 0.13972762620115436)","(0.37333333333333335, 0.2463060426921489)","(0.44666666666666666, 0.16846647257229663)","(0.4106666666666667, 0.09852241707685955)","(0.08645265897115072, 0.03248027319990907)"
4,5,"(0.26666666666666666, 0.1588650220724979)","(0.7133333333333334, 0.16417180315870614)","(0.22, 0.11464230084422217)","(0.5333333333333333, 0.2439750182371333)","(0.56, 0.21974010622941434)","(0.45866666666666667, 0.09635252733483186)","(0.11903394258891543, 0.05161744758637725)"
